"Date","Price","Open","High","Low","Vol.","Change %"
"07/03/2026","163.76","163.00","164.39","161.50","1.48M","-0.38%"
"07/02/2026","164.38","163.00","165.20","162.02","1.58M","2.02%"
"07/01/2026","161.12","165.30","167.89","160.00","3.15M","-2.53%"
"06/30/2026","165.30","163.05","166.50","161.50","1.27M","1.38%"
"06/29/2026","163.05","161.40","164.00","160.77","1.02M","-0.04%"
"06/24/2026","163.11","161.00","163.50","160.22","718.35K","1.30%"
"06/23/2026","161.01","162.01","163.74","160.50","1.82M","-0.77%"
"06/22/2026","162.26","162.52","164.80","160.77","787.73K","0.23%"
"06/19/2026","161.88","167.50","168.00","158.00","2.93M","-3.34%"
"06/18/2026","167.47","165.45","169.50","159.16","5.57M","3.08%"
"06/17/2026","162.47","148.00","162.80","147.00","6.15M","9.78%"
"06/16/2026","148.00","144.80","149.01","143.50","1.33M","2.22%"
"06/15/2026","144.79","145.00","145.19","142.00","968.16K","2.14%"
"06/12/2026","141.76","141.00","143.00","140.00","529.89K","1.99%"
"06/11/2026","139.00","140.49","141.99","138.41","704.50K","-1.20%"
"06/10/2026","140.69","140.00","142.00","139.99","255.84K","-0.36%"
"06/09/2026","141.20","142.00","144.00","140.99","470.43K","0.11%"
"06/08/2026","141.04","140.01","141.25","138.60","453.23K","-0.40%"
"06/05/2026","141.61","141.95","142.95","141.16","212.63K","-0.17%"
"06/04/2026","141.85","141.34","143.00","140.15","679.33K","0.36%"
"06/03/2026","141.34","140.00","142.90","139.07","865.96K","0.08%"
"06/02/2026","141.23","140.25","142.95","139.03","559.81K","1.12%"
"06/01/2026","139.66","142.00","146.00","138.50","2.26M","-0.99%"
"05/29/2026","141.05","139.50","142.10","139.11","1.23M","0.86%"
"05/25/2026","139.85","141.00","141.00","139.01","869.92K","2.54%"
"05/22/2026","136.39","138.00","138.00","135.12","304.25K","-0.28%"
"05/21/2026","136.77","132.00","137.00","132.00","520.06K","4.38%"
"05/20/2026","131.03","130.00","131.85","129.50","290.29K","1.42%"
"05/19/2026","129.20","132.00","134.00","127.51","490.62K","-1.23%"
"05/18/2026","130.81","134.00","134.50","129.10","400.60K","-2.81%"
"05/15/2026","134.59","135.99","136.99","133.70","339.95K","-1.13%"
"05/14/2026","136.13","136.64","136.65","134.00","397.09K","0.38%"
"05/13/2026","135.62","137.13","138.00","134.90","291.37K","-1.10%"
"05/12/2026","137.13","138.00","138.44","136.90","220.42K","-0.25%"
