"Date","Price","Open","High","Low","Vol.","Change %"
"07/03/2026","576.72","572.40","578.50","571.66","1.34M","0.78%"
"07/02/2026","572.28","573.00","580.99","570.15","1.94M","0.02%"
"07/01/2026","572.17","573.48","575.00","567.00","2.11M","-0.23%"
"06/30/2026","573.48","553.00","598.00","553.00","1.17M","3.79%"
"06/29/2026","552.53","558.50","558.60","550.00","1.42M","-1.10%"
"06/24/2026","558.68","555.64","562.00","554.00","1.28M","0.55%"
"06/23/2026","555.64","561.00","561.50","553.90","1.28M","-0.41%"
"06/22/2026","557.94","562.01","564.00","556.65","823.98K","-0.50%"
"06/19/2026","560.74","568.00","571.00","552.05","1.97M","-1.27%"
"06/18/2026","567.93","564.95","574.79","564.20","1.87M","0.70%"
"06/17/2026","563.96","568.89","568.99","562.00","1.79M","-0.52%"
"06/16/2026","566.89","565.10","569.90","565.10","2.59M","0.58%"
"06/15/2026","563.61","565.00","567.00","556.40","2.24M","1.29%"
"06/12/2026","556.45","557.99","559.00","552.51","1.13M","0.90%"
"06/11/2026","551.47","551.02","553.58","550.11","780.43K","-0.38%"
"06/10/2026","553.58","552.99","557.75","552.00","476.44K","-0.23%"
"06/09/2026","554.86","559.00","562.90","554.00","880.39K","0.12%"
"06/08/2026","554.20","553.00","556.40","550.11","955.35K","-0.69%"
"06/05/2026","558.07","560.50","563.90","556.00","1.02M","-0.23%"
"06/04/2026","559.35","557.50","560.50","554.00","1.61M","0.85%"
"06/03/2026","554.63","550.00","563.40","550.00","1.79M","-0.22%"
"06/02/2026","555.86","552.30","559.40","545.00","2.01M","0.64%"
"06/01/2026","552.30","563.50","566.90","549.60","3.78M","-1.98%"
"05/29/2026","563.48","550.00","569.44","545.10","6.66M","4.01%"
"05/25/2026","541.73","538.00","543.80","536.00","1.66M","1.98%"
"05/22/2026","531.21","535.00","535.00","528.10","1.16M","0.00%"
"05/21/2026","531.21","525.00","532.50","525.00","2.22M","2.55%"
"05/20/2026","518.00","510.00","520.90","509.84","977.56K","1.60%"
"05/19/2026","509.84","506.00","511.99","506.00","762.43K","1.01%"
"05/18/2026","504.75","510.00","511.89","503.00","665.29K","-1.44%"
"05/15/2026","512.11","516.00","518.00","511.02","976.59K","-0.95%"
"05/14/2026","517.03","521.00","522.60","516.55","469.74K","-0.44%"
"05/13/2026","519.30","521.00","524.00","516.55","582.01K","-0.51%"
"05/12/2026","521.96","523.25","525.24","520.01","494.61K","-0.25%"
"05/11/2026","523.25","525.00","525.90","521.00","440.26K","-1.82%"
"05/08/2026","532.94","530.00","537.00","528.00","1.48M","-0.53%"
"05/07/2026","535.76","532.99","538.00","529.65","2.00M","1.19%"
"05/06/2026","529.45","525.00","531.00","519.25","2.33M","2.72%"
"05/05/2026","515.42","506.00","516.50","505.10","1.79M","1.23%"
"05/04/2026","509.16","510.00","521.20","506.00","1.74M","0.97%"
"04/30/2026","504.27","511.00","512.00","500.20","1.49M","-1.80%"
"04/29/2026","513.52","517.00","522.00","511.50","1.68M","-0.68%"
"04/28/2026","517.02","520.00","524.00","515.50","910.08K","-1.50%"
"04/27/2026","524.89","524.24","531.99","520.03","777.86K","0.03%"
"04/24/2026","524.75","522.00","533.00","516.11","959.10K","0.19%"
"04/23/2026","523.76","531.94","531.94","521.50","996.25K","-1.61%"
"04/22/2026","532.35","531.00","537.00","526.00","1.11M","0.26%"
"04/21/2026","530.95","534.00","536.39","530.00","1.05M","0.26%"
"04/20/2026","529.59","536.06","538.25","528.00","2.34M","-1.82%"
"04/17/2026","539.38","541.00","542.50","537.91","3.38M","-0.09%"
"04/16/2026","539.86","540.49","544.98","537.00","1.17M","0.59%"
"04/15/2026","536.67","536.00","549.45","535.00","3.06M","1.89%"
"04/14/2026","526.69","525.00","530.00","522.00","1.05M","2.45%"
"04/13/2026","514.08","517.00","525.00","512.00","2.09M","-4.36%"
"04/10/2026","537.53","537.00","545.50","535.00","2.23M","0.24%"
"04/09/2026","536.22","543.00","543.49","519.99","3.09M","-0.97%"
"04/08/2026","541.49","536.00","541.49","525.55","4.97M","10.00%"
"04/07/2026","492.26","489.00","494.75","484.00","1.83M","0.62%"
"04/06/2026","489.22","486.00","490.80","479.99","2.01M","0.64%"
"04/03/2026","486.10","483.36","489.90","477.00","994.14K","-1.03%"
"04/02/2026","491.16","490.77","494.00","483.01","1.02M","-1.72%"
"04/01/2026","499.77","491.25","508.45","491.25","3.19M","2.89%"
"03/31/2026","485.73","485.11","494.40","482.01","2.31M","0.41%"
"03/30/2026","483.74","498.00","499.74","481.01","1.99M","-2.95%"
"03/27/2026","498.44","500.00","506.45","496.00","2.39M","-0.04%"
"03/26/2026","498.63","509.98","511.98","496.00","1.89M","-2.84%"
"03/25/2026","513.19","506.10","514.90","504.00","2.43M","2.18%"
"03/24/2026","502.25","525.00","525.00","498.50","2.37M","1.68%"
"03/19/2026","493.96","488.00","499.00","477.00","2.19M","0.07%"
"03/18/2026","493.61","483.40","495.99","479.00","1.42M","2.54%"
"03/17/2026","481.36","487.00","495.00","473.00","1.89M","0.09%"
"03/16/2026","480.94","501.02","501.20","473.00","1.18M","-4.01%"
"03/13/2026","501.02","503.99","505.00","496.00","1.03M","-0.75%"
"03/12/2026","504.79","500.00","514.27","500.00","2.31M","-0.55%"
"03/11/2026","507.56","506.10","517.98","506.10","1.07M","-0.47%"
"03/10/2026","509.94","500.00","518.00","498.00","2.26M","8.18%"
"03/09/2026","471.40","498.00","498.00","470.06","6.14M","-9.74%"
"03/06/2026","522.29","532.00","534.00","516.00","1.26M","-3.34%"
"03/05/2026","540.36","525.00","545.00","525.00","2.59M","2.93%"
"03/04/2026","525.00","525.00","532.00","516.05","2.82M","-0.29%"
"03/03/2026","526.53","497.50","547.24","497.50","4.22M","5.84%"
"03/02/2026","497.50","497.34","530.00","497.34","5.32M","-9.97%"
"02/27/2026","552.60","553.00","561.00","540.00","1.44M","-0.59%"
"02/26/2026","555.88","532.00","572.00","525.00","2.25M","4.53%"
"02/25/2026","531.79","534.00","539.00","530.00","1.61M","-0.42%"
"02/24/2026","534.04","541.30","545.99","521.55","2.14M","-1.30%"
"02/23/2026","541.08","555.50","561.50","530.10","1.12M","-2.64%"
"02/20/2026","555.74","555.03","560.00","549.00","1.03M","0.48%"
"02/19/2026","553.10","574.50","574.50","521.00","1.43M","-3.26%"
"02/18/2026","571.73","565.51","575.00","558.88","2.03M","1.10%"
"02/17/2026","565.51","570.00","573.00","556.98","1.85M","-0.68%"
"02/16/2026","569.38","579.60","581.00","565.00","2.54M","-1.76%"
"02/13/2026","579.58","580.00","581.90","574.00","1.56M","-0.17%"
"02/12/2026","580.54","577.99","584.88","569.20","1.96M","0.50%"
"02/11/2026","577.68","580.00","585.00","576.11","1.03M","-0.17%"
"02/10/2026","578.67","577.00","581.49","574.50","1.15M","0.54%"
"02/09/2026","575.59","580.00","584.00","565.00","1.78M","-0.20%"
"02/06/2026","576.77","590.44","590.44","574.60","2.57M","-2.25%"
"02/04/2026","590.04","592.00","594.00","587.00","1.50M","0.00%"
"02/03/2026","590.05","581.90","594.00","580.58","4.11M","1.63%"
"02/02/2026","580.58","590.00","592.00","572.00","3.81M","-1.36%"
"01/30/2026","588.57","597.10","600.00","575.02","8.15M","-1.43%"
"01/29/2026","597.10","665.00","677.00","596.62","21.29M","-9.93%"
"01/28/2026","662.91","676.00","679.00","657.41","6.15M","-1.52%"
"01/27/2026","673.16","651.89","684.89","643.00","9.14M","3.21%"
"01/26/2026","652.25","665.05","685.00","649.00","12.63M","0.22%"
"01/23/2026","650.82","600.00","658.28","596.00","13.09M","8.75%"
"01/22/2026","598.44","600.00","603.00","596.18","1.45M","-0.13%"
"01/21/2026","599.20","602.00","605.00","596.12","2.80M","-0.11%"
"01/20/2026","599.86","600.00","602.00","595.00","1.47M","0.12%"
"01/19/2026","599.13","595.50","604.00","595.00","2.04M","1.01%"
"01/16/2026","593.12","588.25","594.50","586.77","1.84M","1.09%"
"01/15/2026","586.73","588.70","589.90","581.03","1.40M","0.12%"
"01/14/2026","586.00","591.00","594.00","583.95","2.40M","-0.95%"
"01/13/2026","591.64","595.32","598.99","585.99","2.40M","-0.62%"
"01/12/2026","595.32","597.99","599.40","594.50","1.34M","-0.69%"
"01/09/2026","599.44","598.99","606.00","596.75","3.56M","0.42%"
"01/08/2026","596.91","596.00","605.50","595.00","7.10M","0.39%"
"01/07/2026","594.57","604.61","606.49","593.50","7.00M","-1.16%"
"01/06/2026","601.52","604.80","610.99","600.00","4.33M","-0.08%"
"01/05/2026","602.03","595.91","608.50","595.91","2.81M","1.03%"
"01/02/2026","595.91","592.99","603.50","591.00","1.94M","0.74%"
"01/01/2026","591.51","591.99","597.00","590.01","1.25M","0.14%"
"12/31/2025","590.71","597.43","600.00","588.00","1.66M","-0.95%"
"12/30/2025","596.40","602.49","604.90","593.22","2.09M","-0.84%"
"12/29/2025","601.47","592.20","614.90","592.20","5.11M","2.77%"
"12/26/2025","585.25","585.00","589.90","584.00","1.20M","0.38%"
"12/24/2025","583.01","587.16","589.00","581.00","939.68K","0.49%"
"12/23/2025","580.18","585.00","585.03","579.45","714.82K","-0.49%"
"12/22/2025","583.02","586.00","588.88","580.00","1.08M","-0.34%"
"12/19/2025","585.00","592.00","594.00","583.01","1.54M","-0.68%"
"12/18/2025","588.99","577.50","594.00","571.40","3.92M","2.39%"
"12/17/2025","575.22","579.01","583.00","570.89","3.07M","-0.41%"
"12/16/2025","577.60","585.49","585.49","576.27","1.71M","-1.06%"
"12/15/2025","583.79","587.00","588.99","582.50","1.11M","-0.20%"
"12/12/2025","584.94","574.14","587.00","570.00","2.16M","2.23%"
