"Date","Price","Open","High","Low","Vol.","Change %"
"07/03/2026","110.67","111.80","112.82","110.00","627.38K","-0.40%"
"07/02/2026","111.11","113.00","113.00","110.88","423.33K","-1.46%"
"07/01/2026","112.76","114.48","115.75","112.42","769.95K","-1.08%"
"06/30/2026","113.99","112.26","114.30","112.26","1.07M","1.56%"
"06/29/2026","112.24","113.00","113.15","110.80","1.08M","-0.47%"
"06/24/2026","112.77","112.00","114.76","110.50","2.49M","1.42%"
"06/23/2026","111.19","111.02","112.50","110.61","1.11M","-0.43%"
"06/22/2026","111.67","111.48","111.99","109.01","582.00K","1.46%"
"06/19/2026","110.06","112.00","112.68","108.25","2.52M","-0.94%"
"06/18/2026","111.10","107.90","112.20","107.00","3.28M","3.81%"
"06/17/2026","107.02","107.94","108.50","106.50","1.02M","-0.03%"
"06/16/2026","107.05","110.00","111.40","106.50","1.61M","-2.34%"
"06/15/2026","109.62","110.00","110.50","104.12","3.71M","0.67%"
"06/12/2026","108.89","113.25","113.50","108.46","1.23M","-2.90%"
"06/11/2026","112.14","108.05","112.94","107.05","3.14M","2.38%"
"06/10/2026","109.53","106.20","110.15","104.60","2.45M","3.27%"
"06/09/2026","106.06","107.00","107.68","105.70","1.24M","0.09%"
"06/08/2026","105.96","108.59","108.59","104.00","2.09M","-3.47%"
"06/05/2026","109.77","111.99","112.15","108.75","916.91K","-1.90%"
"06/04/2026","111.90","108.44","112.47","107.25","4.12M","4.16%"
"06/03/2026","107.43","109.52","109.99","105.51","3.77M","-3.17%"
"06/02/2026","110.95","112.90","118.01","108.55","8.26M","-1.18%"
"06/01/2026","112.27","113.41","114.70","111.51","1.99M","-1.01%"
"05/29/2026","113.42","108.98","114.00","108.11","5.02M","4.44%"
"05/25/2026","108.60","111.00","111.80","107.16","2.95M","-0.63%"
"05/22/2026","109.29","107.01","114.75","106.00","8.84M","2.62%"
"05/21/2026","106.50","106.55","107.90","104.90","2.03M","2.57%"
"05/20/2026","103.83","105.90","105.90","102.66","1.15M","-0.81%"
"05/19/2026","104.68","104.61","105.98","103.60","706.22K","0.99%"
"05/18/2026","103.65","105.21","106.00","103.01","982.10K","-2.49%"
"05/15/2026","106.30","106.70","108.60","105.72","1.02M","-0.68%"
"05/14/2026","107.03","107.00","107.75","105.00","1.33M","1.18%"
"05/13/2026","105.78","104.60","106.90","102.06","2.55M","1.81%"
"05/12/2026","103.90","115.79","116.70","103.55","8.48M","-9.69%"
"05/11/2026","115.05","103.00","115.05","102.35","7.80M","10.00%"
"05/08/2026","104.59","102.00","107.00","101.00","2.44M","1.02%"
"05/07/2026","103.53","101.00","108.74","99.00","6.80M","3.60%"
"05/06/2026","99.93","99.10","101.50","97.49","4.23M","2.73%"
"05/05/2026","97.27","95.01","98.00","94.35","1.17M","2.15%"
"05/04/2026","95.22","94.10","99.50","94.00","3.01M","2.94%"
"04/30/2026","92.50","91.00","92.85","90.10","1.19M","-1.03%"
"04/29/2026","93.46","96.89","98.20","93.03","1.68M","-2.97%"
"04/28/2026","96.32","96.25","98.50","94.12","4.93M","1.97%"
"04/27/2026","94.46","94.46","94.46","93.00","4.74M","10.00%"
"04/24/2026","85.87","78.06","85.87","76.20","1.84M","10.01%"
"04/23/2026","78.06","78.00","78.93","77.12","654.43K","-0.37%"
"04/22/2026","78.35","79.00","79.43","77.06","929.57K","0.58%"
"04/21/2026","77.90","77.80","79.19","77.50","540.60K","0.43%"
"04/20/2026","77.57","78.00","79.95","75.45","1.08M","-2.51%"
"04/17/2026","79.57","80.55","80.55","79.01","408.51K","-0.34%"
"04/16/2026","79.84","81.10","81.44","79.72","1.13M","-5.34%"
"04/15/2026","84.34","86.00","86.00","83.50","1.48M","1.54%"
"04/14/2026","83.06","81.01","83.50","81.01","1.26M","4.60%"
"04/13/2026","79.41","77.50","81.50","77.50","1.97M","0.48%"
"04/10/2026","79.03","77.95","79.39","77.95","504.25K","1.42%"
"04/09/2026","77.92","78.99","79.12","76.50","444.86K","-2.66%"
"04/08/2026","80.05","79.80","80.53","77.11","1.05M","7.15%"
"04/07/2026","74.71","73.24","75.50","73.01","78.62K","1.21%"
"04/06/2026","73.82","74.90","74.90","72.50","116.97K","-0.07%"
"04/03/2026","73.87","71.10","74.70","71.10","272.31K","0.24%"
"04/02/2026","73.69","72.90","74.50","72.11","72.20K","-0.59%"
"04/01/2026","74.13","71.50","75.94","71.50","551.98K","4.85%"
"03/31/2026","70.70","70.16","71.60","70.16","81.13K","0.80%"
"03/30/2026","70.14","72.00","72.00","69.51","213.31K","-3.05%"
"03/27/2026","72.35","73.90","73.90","71.91","249.21K","-1.27%"
"03/26/2026","73.28","76.85","76.85","72.80","505.18K","-3.16%"
"03/25/2026","75.67","75.01","77.45","75.00","1.90M","1.11%"
"03/24/2026","74.84","75.80","75.80","73.00","399.43K","2.14%"
"03/19/2026","73.27","73.01","73.40","71.60","45.46K","-0.39%"
"03/18/2026","73.56","71.40","74.00","70.00","255.73K","3.94%"
"03/17/2026","70.77","70.00","71.40","69.02","103.11K","0.78%"
"03/16/2026","70.22","73.00","73.03","69.25","108.24K","-4.27%"
"03/13/2026","73.35","73.00","73.74","71.56","56.81K","0.92%"
"03/12/2026","72.68","72.97","74.40","71.02","79.83K","-0.40%"
"03/11/2026","72.97","70.48","73.28","70.00","197.39K","2.85%"
"03/10/2026","70.95","68.25","72.01","68.25","185.27K","8.39%"
"03/09/2026","65.46","69.00","69.70","63.86","282.69K","-7.74%"
"03/06/2026","70.95","72.05","73.00","70.00","98.28K","-2.39%"
"03/05/2026","72.69","70.90","73.46","70.56","499.14K","3.65%"
"03/04/2026","70.13","70.31","71.47","69.50","288.69K","-0.47%"
"03/03/2026","70.46","71.89","74.00","68.99","316.88K","-2.14%"
"03/02/2026","72.00","75.00","75.01","72.00","325.94K","-10.00%"
"02/27/2026","80.00","79.98","80.75","79.00","332.14K","-1.10%"
"02/26/2026","80.89","80.20","81.25","77.93","234.94K","1.80%"
"02/25/2026","79.46","81.07","81.07","78.50","483.47K","-0.55%"
"02/24/2026","79.90","81.89","81.89","78.10","198.66K","-1.11%"
"02/23/2026","80.80","82.98","82.98","79.90","216.86K","-2.67%"
"02/20/2026","83.02","83.01","83.60","80.11","278.57K","0.36%"
"02/19/2026","82.72","86.33","86.33","82.11","239.83K","-3.43%"
"02/18/2026","85.66","87.00","87.35","85.00","438.81K","-1.10%"
"02/17/2026","86.61","85.32","87.55","84.50","1.86M","2.62%"
"02/16/2026","84.40","86.50","86.85","81.11","210.43K","-2.07%"
"02/13/2026","86.18","85.00","86.85","84.00","705.40K","1.96%"
"02/12/2026","84.52","87.00","87.10","83.51","866.11K","-2.75%"
"02/11/2026","86.91","86.20","88.13","85.72","666.93K","1.02%"
"02/10/2026","86.03","86.25","87.00","85.67","597.99K","-0.16%"
"02/09/2026","86.17","88.60","88.60","86.10","679.71K","-1.58%"
"02/06/2026","87.55","90.15","91.30","87.01","876.16K","-2.18%"
"02/04/2026","89.50","87.00","90.00","86.67","1.41M","2.91%"
"02/03/2026","86.97","86.50","88.00","85.98","787.77K","0.98%"
"02/02/2026","86.13","86.00","87.48","85.50","220.58K","0.45%"
"01/30/2026","85.74","86.38","86.59","85.14","1.67M","0.09%"
"01/29/2026","85.66","88.21","88.31","85.34","491.13K","-3.18%"
"01/28/2026","88.47","90.00","90.00","88.21","1.02M","0.01%"
"01/27/2026","88.46","89.02","89.50","87.81","372.86K","-0.90%"
"01/26/2026","89.26","87.95","90.50","87.10","1.65M","1.93%"
"01/23/2026","87.57","87.74","88.49","86.40","531.68K","-0.19%"
"01/22/2026","87.74","90.00","90.00","87.20","804.01K","-2.30%"
"01/21/2026","89.81","90.48","92.50","89.50","1.05M","-1.23%"
"01/20/2026","90.93","88.99","91.50","88.36","1.18M","2.99%"
"01/19/2026","88.29","88.85","89.98","88.01","452.19K","-0.73%"
"01/16/2026","88.94","89.85","90.98","88.00","683.89K","-0.18%"
"01/15/2026","89.10","90.50","91.00","87.59","1.14M","-0.75%"
"01/14/2026","89.77","94.50","95.00","89.31","1.60M","-4.54%"
"01/13/2026","94.04","95.50","98.59","93.25","2.99M","-1.21%"
"01/12/2026","95.19","92.71","96.30","91.50","3.82M","2.68%"
"01/09/2026","92.71","92.01","94.50","90.30","1.82M","0.42%"
"01/08/2026","92.32","96.00","96.00","91.80","2.11M","-1.57%"
"01/07/2026","93.79","87.50","94.99","86.90","7.83M","8.24%"
"01/06/2026","86.65","86.25","87.00","85.50","810.25K","0.63%"
"01/05/2026","86.11","87.75","89.00","85.80","1.19M","-0.84%"
"01/02/2026","86.84","87.32","88.00","86.75","390.86K","-0.08%"
"01/01/2026","86.91","86.51","87.70","86.25","206.84K","0.52%"
"12/31/2025","86.46","87.10","87.49","86.22","96.60K","-0.69%"
"12/30/2025","87.06","86.00","88.99","86.00","1.55M","0.88%"
"12/29/2025","86.30","85.30","88.49","84.51","1.18M","1.77%"
"12/26/2025","84.80","85.50","85.70","84.28","242.72K","-0.08%"
"12/24/2025","84.87","85.75","86.25","84.38","356.85K","-0.28%"
"12/23/2025","85.11","86.00","86.15","85.00","269.50K","-1.12%"
"12/22/2025","86.07","87.35","87.35","85.10","353.85K","-0.69%"
"12/19/2025","86.67","86.82","88.49","86.25","529.17K","0.20%"
"12/18/2025","86.50","86.01","87.50","85.13","744.32K","0.59%"
"12/17/2025","85.99","86.00","87.18","85.21","273.00K","0.10%"
"12/16/2025","85.90","86.80","87.35","85.70","236.13K","-0.38%"
"12/15/2025","86.23","87.00","87.40","85.83","413.33K","-0.58%"
"12/12/2025","86.73","87.98","88.35","86.35","271.08K","-1.42%"
"12/11/2025","87.98","90.30","90.80","87.50","958.18K","-1.64%"
"12/10/2025","89.45","85.50","90.49","85.01","2.79M","4.79%"
"12/09/2025","85.36","84.90","85.70","84.26","300.19K","1.43%"
"12/08/2025","84.16","84.21","84.99","84.00","348.44K","-0.18%"
"12/05/2025","84.31","85.20","85.25","84.20","89.73K","-0.62%"
"12/04/2025","84.84","85.50","85.50","84.01","159.63K","-0.28%"
"12/03/2025","85.08","84.51","85.60","84.21","467.24K","0.66%"
