"Date","Price","Open","High","Low","Vol.","Change %"
"07/03/2026","305.91","307.00","309.00","304.10","2.77M","0.09%"
"07/02/2026","305.64","308.15","312.39","305.00","4.20M","-0.59%"
"07/01/2026","307.45","293.00","309.10","292.80","6.87M","5.22%"
"06/30/2026","292.21","289.94","298.70","283.05","3.44M","0.70%"
"06/29/2026","290.19","294.10","300.00","287.00","2.32M","-1.33%"
"06/24/2026","294.10","293.94","297.85","292.99","1.88M","0.38%"
"06/23/2026","292.99","294.95","296.50","291.51","782.63K","-0.67%"
"06/22/2026","294.98","301.00","301.75","292.00","1.46M","-1.15%"
"06/19/2026","298.40","304.42","305.00","294.00","2.33M","-1.98%"
"06/18/2026","304.42","303.50","307.30","303.50","2.64M","0.36%"
"06/17/2026","303.34","304.51","307.40","302.00","8.45M","0.28%"
"06/16/2026","302.50","296.00","303.13","296.00","7.03M","2.20%"
"06/15/2026","295.98","292.06","297.47","288.90","2.38M","2.65%"
"06/12/2026","288.35","289.01","292.38","281.66","1.07M","1.56%"
"06/11/2026","283.92","281.00","284.48","278.02","410.09K","0.83%"
"06/10/2026","281.57","284.69","285.75","281.00","371.59K","-1.14%"
"06/09/2026","284.81","284.90","286.48","282.50","683.30K","1.55%"
"06/08/2026","280.47","282.00","283.55","279.30","688.10K","-1.83%"
"06/05/2026","285.69","287.00","288.90","285.11","771.81K","-0.13%"
"06/04/2026","286.06","286.00","288.50","285.50","416.81K","0.20%"
"06/03/2026","285.50","287.15","289.00","285.14","665.08K","-0.80%"
"06/02/2026","287.81","288.01","292.00","286.51","845.41K","0.05%"
"06/01/2026","287.68","294.00","294.00","287.01","781.08K","-1.93%"
"05/29/2026","293.33","288.42","294.02","286.50","2.45M","1.70%"
"05/25/2026","288.42","280.00","291.50","280.00","2.32M","4.52%"
"05/22/2026","275.96","281.99","282.00","274.00","1.26M","-1.27%"
"05/21/2026","279.52","272.00","280.49","270.11","1.67M","4.03%"
"05/20/2026","268.68","268.99","271.99","266.20","1.26M","0.46%"
"05/19/2026","267.45","273.00","273.00","266.00","949.03K","-0.23%"
"05/18/2026","268.06","271.49","272.99","266.00","1.36M","-2.47%"
"05/15/2026","274.85","278.00","278.00","273.76","1.10M","-1.17%"
"05/14/2026","278.10","282.90","284.00","277.00","1.35M","-0.78%"
"05/13/2026","280.28","293.00","294.40","279.50","2.73M","-3.92%"
"05/12/2026","291.71","296.49","297.00","291.00","1.47M","-1.48%"
"05/11/2026","296.09","292.99","296.88","291.75","587.30K","0.28%"
"05/08/2026","295.26","295.00","296.79","289.99","1.86M","-0.37%"
"05/07/2026","296.35","298.50","301.00","294.89","1.63M","-0.62%"
"05/06/2026","298.21","290.00","300.90","288.50","3.16M","4.57%"
"05/05/2026","285.17","280.51","286.99","280.01","620.47K","0.45%"
"05/04/2026","283.90","284.11","295.00","282.00","713.86K","0.36%"
"04/30/2026","282.87","287.00","287.00","271.09","1.41M","-1.98%"
"04/29/2026","288.58","297.45","297.45","285.00","889.53K","-2.38%"
"04/28/2026","295.63","299.40","299.89","295.00","1.56M","-2.22%"
"04/27/2026","302.35","299.88","303.90","297.00","1.12M","1.28%"
"04/24/2026","298.54","298.40","301.99","290.90","2.57M","0.03%"
"04/23/2026","298.44","300.00","302.90","295.50","1.56M","-1.00%"
"04/22/2026","301.45","305.00","305.50","300.00","794.59K","-1.12%"
"04/21/2026","304.86","306.00","309.48","303.00","3.68M","0.47%"
"04/20/2026","303.42","308.90","311.95","300.00","3.51M","-3.11%"
"04/17/2026","313.15","308.50","319.80","305.26","10.87M","2.42%"
"04/16/2026","305.75","306.50","307.99","303.10","1.08M","0.34%"
"04/15/2026","304.71","306.80","310.50","303.30","2.73M","1.18%"
"04/14/2026","301.16","300.07","303.50","298.10","2.29M","2.36%"
"04/13/2026","294.21","292.50","302.20","292.50","923.00K","-4.03%"
"04/10/2026","306.55","303.00","309.90","300.86","1.30M","1.89%"
"04/09/2026","300.85","305.00","306.00","293.03","1.47M","0.38%"
"04/08/2026","299.72","299.72","299.72","296.50","1.08M","10.00%"
"04/07/2026","272.47","263.51","273.40","262.00","601.57K","1.75%"
"04/06/2026","267.78","265.21","269.90","258.50","1.54M","0.97%"
"04/03/2026","265.21","260.10","265.90","256.02","429.51K","0.25%"
"04/02/2026","264.56","262.00","265.00","258.01","1.58M","-1.39%"
"04/01/2026","268.30","254.00","272.00","253.00","2.46M","7.93%"
"03/31/2026","248.59","244.10","254.89","244.10","1.00M","2.28%"
"03/30/2026","243.05","252.80","252.80","235.55","3.14M","-3.89%"
"03/27/2026","252.90","256.00","257.49","251.00","1.38M","-0.89%"
"03/26/2026","255.16","261.10","263.49","254.26","3.71M","-3.37%"
"03/25/2026","264.07","263.00","265.80","259.00","2.63M","2.21%"
"03/24/2026","258.36","265.00","265.00","255.50","914.92K","0.08%"
"03/19/2026","258.16","258.00","261.99","255.00","1.70M","-1.91%"
"03/18/2026","263.20","259.80","268.47","258.51","1.87M","1.39%"
"03/17/2026","259.60","264.00","266.99","253.01","2.06M","-2.09%"
"03/16/2026","265.15","278.49","278.50","262.50","870.15K","-4.83%"
"03/13/2026","278.60","279.26","281.00","275.00","627.18K","-0.24%"
"03/12/2026","279.26","281.00","284.98","277.01","1.35M","-1.44%"
"03/11/2026","283.33","289.94","293.00","281.00","1.13M","-1.30%"
"03/10/2026","287.06","273.00","287.06","273.00","1.75M","10.00%"
"03/09/2026","260.96","278.51","278.51","255.00","1.39M","-6.30%"
"03/06/2026","278.51","282.00","283.00","275.25","678.64K","-1.07%"
"03/05/2026","281.53","269.00","284.99","268.01","1.99M","4.44%"
"03/04/2026","269.57","279.00","280.00","267.44","3.33M","-3.70%"
"03/03/2026","279.93","279.00","295.00","274.04","5.67M","0.16%"
"03/02/2026","279.49","279.49","295.00","279.49","2.05M","-10.00%"
"02/27/2026","310.54","311.00","320.00","307.00","1.04M","-0.69%"
"02/26/2026","312.70","307.00","315.99","295.03","2.25M","2.78%"
"02/25/2026","304.24","307.89","311.00","301.01","1.77M","0.67%"
"02/24/2026","302.23","310.99","315.99","300.00","3.48M","-3.55%"
"02/23/2026","313.37","322.11","329.50","304.99","2.07M","-2.71%"
"02/20/2026","322.11","325.02","330.40","315.00","1.63M","-0.32%"
"02/19/2026","323.13","335.48","338.00","318.06","3.81M","-2.67%"
"02/18/2026","331.99","302.00","331.99","302.00","5.80M","10.00%"
"02/17/2026","301.81","310.00","317.99","292.55","1.72M","-2.83%"
"02/16/2026","310.60","324.89","324.90","302.00","1.63M","-3.90%"
"02/13/2026","323.19","321.52","326.94","320.06","481.42K","0.02%"
"02/12/2026","323.13","329.95","329.95","321.51","490.13K","-1.14%"
"02/11/2026","326.86","327.70","332.86","325.80","795.62K","-0.27%"
"02/10/2026","327.74","337.50","339.94","325.06","638.19K","-2.53%"
"02/09/2026","336.24","342.00","342.90","332.00","832.96K","-1.36%"
"02/06/2026","340.86","346.00","346.00","334.60","866.49K","-1.36%"
"02/04/2026","345.57","342.15","347.49","342.15","1.74M","0.70%"
"02/03/2026","343.16","341.61","346.45","341.61","1.54M","0.46%"
"02/02/2026","341.60","345.00","346.00","341.07","1.48M","-0.67%"
"01/30/2026","343.90","341.47","347.50","337.60","1.19M","2.08%"
"01/29/2026","336.89","345.50","346.90","333.00","1.43M","-2.36%"
"01/28/2026","345.04","344.99","347.90","341.00","1.40M","0.38%"
"01/27/2026","343.72","346.06","352.00","343.01","1.15M","0.27%"
"01/26/2026","342.80","347.11","348.91","341.03","607.35K","-0.93%"
"01/23/2026","346.03","348.25","351.00","345.26","528.60K","-0.63%"
"01/22/2026","348.23","350.87","353.49","347.07","896.04K","-0.75%"
"01/21/2026","350.87","359.90","364.19","342.12","2.64M","-1.88%"
"01/20/2026","357.58","361.49","361.90","356.51","792.10K","-0.68%"
"01/19/2026","360.02","356.85","361.40","356.00","1.52M","1.26%"
"01/16/2026","355.54","355.98","359.50","354.10","893.25K","0.41%"
"01/15/2026","354.08","355.00","357.00","352.00","543.40K","-0.52%"
"01/14/2026","355.93","362.00","365.00","355.48","982.12K","-1.24%"
"01/13/2026","360.39","357.00","361.99","351.50","2.68M","0.96%"
"01/12/2026","356.98","357.95","361.80","353.35","2.06M","-0.30%"
"01/09/2026","358.07","358.03","364.00","356.01","1.49M","-0.85%"
"01/08/2026","361.14","360.00","369.99","359.50","3.70M","-0.57%"
"01/07/2026","363.21","364.05","368.78","358.58","4.50M","-0.17%"
"01/06/2026","363.83","347.00","367.00","343.50","7.17M","4.87%"
"01/05/2026","346.92","330.95","354.44","330.95","6.96M","5.02%"
"01/02/2026","330.34","330.15","336.90","326.51","3.05M","0.20%"
"01/01/2026","329.69","322.00","331.45","322.00","1.61M","1.94%"
"12/31/2025","323.41","324.21","326.99","318.80","1.51M","-0.24%"
