"Date","Price","Open","High","Low","Vol.","Change %"
"07/03/2026","427.11","425.99","427.74","420.50","399.61K","0.79%"
"07/02/2026","423.75","428.01","434.00","419.00","2.25M","-0.72%"
"07/01/2026","426.84","406.74","429.50","405.02","1.86M","5.26%"
"06/30/2026","405.51","405.03","409.02","404.10","374.98K","0.12%"
"06/29/2026","405.01","403.75","408.00","402.51","794.47K","0.31%"
"06/24/2026","403.75","400.98","406.00","396.50","682.75K","1.23%"
"06/23/2026","398.83","401.95","403.30","396.00","623.62K","-0.32%"
"06/22/2026","400.10","404.00","406.00","398.00","403.25K","-0.70%"
"06/19/2026","402.93","408.99","409.00","398.00","217.89K","-1.03%"
"06/18/2026","407.11","408.89","410.89","406.90","263.99K","-0.36%"
"06/17/2026","408.60","410.50","412.80","407.00","330.20K","-0.46%"
"06/16/2026","410.48","403.95","412.00","403.02","745.16K","2.01%"
"06/15/2026","402.41","406.99","406.99","399.85","333.13K","0.62%"
"06/12/2026","399.95","400.66","401.45","398.50","373.41K","0.29%"
"06/11/2026","398.79","397.50","400.01","397.50","349.00K","0.40%"
"06/10/2026","397.20","403.69","406.89","396.00","327.88K","-1.61%"
"06/09/2026","403.69","405.01","409.01","402.02","224.62K","-0.33%"
"06/08/2026","405.01","406.52","408.99","403.51","94.50K","-0.64%"
"06/05/2026","407.61","414.99","415.50","406.51","120.16K","-1.21%"
"06/04/2026","412.62","410.00","415.50","410.00","165.37K","0.64%"
"06/03/2026","409.98","408.00","418.00","404.04","381.42K","0.46%"
"06/02/2026","408.11","405.51","411.00","404.00","270.12K","0.18%"
"06/01/2026","407.38","415.00","415.00","406.80","65.32K","-1.43%"
"05/29/2026","413.28","407.50","414.00","407.50","237.12K","0.17%"
"05/25/2026","412.57","408.00","414.49","407.00","419.00K","1.87%"
"05/22/2026","405.01","408.00","408.00","402.50","70.44K","-0.21%"
"05/21/2026","405.88","407.00","409.50","403.66","571.13K","0.55%"
"05/20/2026","403.65","401.77","405.00","400.00","661.95K","0.47%"
"05/19/2026","401.77","401.04","404.00","396.52","830.15K","0.18%"
"05/18/2026","401.04","399.49","403.00","393.00","709.36K","0.54%"
"05/15/2026","398.88","397.00","403.00","396.27","542.97K","0.47%"
"05/14/2026","397.00","396.50","400.00","396.20","157.60K","-0.12%"
"05/13/2026","397.46","399.50","403.00","396.00","195.84K","-0.59%"
"05/12/2026","399.83","403.07","405.50","399.10","194.63K","-0.80%"
"05/11/2026","403.07","403.99","405.75","396.00","45.61K","-0.37%"
"05/08/2026","404.57","410.35","410.35","403.00","297.50K","-1.41%"
"05/07/2026","410.35","416.50","417.00","409.00","164.26K","-1.40%"
"05/06/2026","416.19","409.00","419.00","403.59","667.24K","3.17%"
"05/05/2026","403.41","392.78","432.06","390.50","2.75M","0.41%"
"05/04/2026","401.78","405.00","407.90","397.00","953.09K","1.89%"
"04/30/2026","394.32","399.00","399.00","392.99","422.16K","-1.04%"
"04/29/2026","398.48","406.75","408.99","395.06","306.03K","-1.94%"
"04/28/2026","406.37","403.97","408.00","403.95","103.72K","0.39%"
"04/27/2026","404.78","406.00","409.90","395.00","172.62K","-0.26%"
"04/24/2026","405.82","400.11","409.00","400.11","405.53K","-0.37%"
"04/23/2026","407.34","414.00","414.00","404.05","301.52K","-0.90%"
"04/22/2026","411.03","409.99","416.50","408.10","68.24K","-0.46%"
"04/21/2026","412.94","414.96","419.25","411.00","348.59K","0.47%"
"04/20/2026","410.99","418.00","418.00","406.50","413.03K","-1.68%"
"04/17/2026","418.03","412.87","419.00","410.11","446.59K","1.93%"
"04/16/2026","410.11","409.40","414.99","405.51","510.47K","0.17%"
"04/15/2026","409.41","409.05","416.00","405.55","723.83K","0.93%"
"04/14/2026","405.62","403.15","409.00","402.50","241.13K","1.42%"
"04/13/2026","399.94","400.00","407.00","398.00","320.52K","-2.81%"
"04/10/2026","411.49","406.99","414.90","405.01","347.15K","2.41%"
"04/09/2026","401.80","409.96","412.00","385.00","492.44K","-2.27%"
"04/08/2026","411.12","413.00","413.00","396.00","885.70K","8.98%"
"04/07/2026","377.26","379.00","379.00","370.13","306.47K","0.86%"
"04/06/2026","374.04","367.36","376.50","363.00","423.58K","1.82%"
"04/03/2026","367.37","367.50","374.00","365.00","195.41K","-0.73%"
"04/02/2026","370.09","377.00","379.95","366.75","585.14K","-4.34%"
"04/01/2026","386.89","374.00","390.00","372.99","841.46K","5.38%"
"03/31/2026","367.13","364.89","370.00","363.02","304.76K","1.50%"
"03/30/2026","361.70","367.90","368.23","358.50","1.17M","-1.27%"
"03/27/2026","366.35","369.90","372.89","365.00","168.35K","-0.10%"
"03/26/2026","366.70","375.00","379.00","365.00","377.37K","-2.31%"
"03/25/2026","375.36","365.99","376.45","362.50","408.71K","3.66%"
"03/24/2026","362.11","371.11","376.96","353.00","743.92K","-1.57%"
"03/19/2026","367.89","370.00","375.00","363.50","333.74K","-1.27%"
"03/18/2026","372.64","362.51","374.50","359.10","459.77K","2.86%"
"03/17/2026","362.27","350.00","364.99","346.00","3.07M","1.83%"
"03/16/2026","355.76","361.06","364.93","352.00","300.05K","-2.02%"
"03/13/2026","363.10","361.50","368.00","357.51","561.10K","0.49%"
"03/12/2026","361.33","368.00","374.00","358.66","1.13M","-2.96%"
"03/11/2026","372.36","373.97","377.00","367.00","201.51K","1.03%"
"03/10/2026","368.58","379.99","390.00","365.10","461.27K","3.01%"
"03/09/2026","357.81","361.07","364.98","345.00","493.39K","-3.20%"
"03/06/2026","369.63","375.00","376.00","368.87","260.64K","-1.13%"
"03/05/2026","373.87","369.00","379.00","369.00","371.26K","1.42%"
"03/04/2026","368.63","379.00","385.00","360.01","394.50K","-0.94%"
"03/03/2026","372.13","357.00","384.99","356.00","741.43K","4.08%"
"03/02/2026","357.53","357.52","389.00","357.52","1.15M","-10.00%"
"02/27/2026","397.24","399.99","406.99","395.00","2.80M","-1.26%"
"02/26/2026","402.32","400.04","410.44","396.25","1.24M","0.57%"
"02/25/2026","400.04","392.00","404.00","392.00","931.21K","2.51%"
"02/24/2026","390.23","386.01","392.00","380.00","1.05M","1.09%"
"02/23/2026","386.01","393.63","403.99","384.00","204.99K","-1.94%"
"02/20/2026","393.63","400.00","403.96","387.50","673.61K","-1.74%"
"02/19/2026","400.60","418.00","418.00","398.00","186.19K","-4.13%"
"02/18/2026","417.85","399.94","420.00","396.99","619.31K","5.45%"
"02/17/2026","396.24","400.01","410.01","394.12","841.76K","-1.11%"
"02/16/2026","400.67","416.90","416.90","393.00","872.11K","-2.95%"
"02/13/2026","412.83","417.00","417.90","412.00","210.21K","-0.48%"
"02/12/2026","414.84","425.00","425.00","411.10","687.30K","-1.70%"
"02/11/2026","422.00","415.00","424.92","412.99","381.02K","2.14%"
"02/10/2026","413.15","418.00","418.00","412.00","410.69K","-0.67%"
"02/09/2026","415.93","414.00","427.25","407.50","511.45K","1.19%"
"02/06/2026","411.02","415.75","415.75","407.00","311.02K","-1.13%"
"02/04/2026","415.71","417.01","422.87","411.00","1.42M","-0.26%"
"02/03/2026","416.79","410.60","419.03","409.80","846.34K","1.50%"
"02/02/2026","410.63","408.00","412.00","403.00","457.69K","0.82%"
"01/30/2026","407.28","415.00","416.50","404.00","392.94K","-1.29%"
"01/29/2026","412.61","418.00","419.99","408.00","384.93K","-1.12%"
"01/28/2026","417.28","419.30","425.00","414.02","315.36K","0.25%"
