"Date","Price","Open","High","Low","Vol.","Change %"
"07/03/2026","208.80","206.50","209.49","205.00","4.00M","1.34%"
"07/02/2026","206.04","206.01","210.74","205.50","7.49M","0.50%"
"07/01/2026","205.01","199.90","205.98","198.57","16.00M","3.28%"
"06/30/2026","198.50","199.97","203.50","196.99","4.20M","-0.63%"
"06/29/2026","199.76","201.90","204.50","196.56","11.28M","-0.98%"
"06/24/2026","201.73","200.00","202.92","199.01","6.73M","0.77%"
"06/23/2026","200.18","202.98","203.89","198.00","2.56M","-1.39%"
"06/22/2026","203.00","205.00","205.99","195.00","4.44M","-0.25%"
"06/19/2026","203.51","207.10","208.99","201.11","5.13M","-1.91%"
"06/18/2026","207.47","208.30","208.50","206.00","3.84M","0.27%"
"06/17/2026","206.92","208.55","209.00","203.50","4.97M","0.15%"
"06/16/2026","206.61","201.10","208.90","199.50","13.75M","4.17%"
"06/15/2026","198.33","197.41","200.00","194.75","7.93M","4.29%"
"06/12/2026","190.17","186.94","193.75","185.42","6.82M","3.19%"
"06/11/2026","184.30","182.99","185.00","180.50","1.97M","0.37%"
"06/10/2026","183.62","184.50","186.50","183.01","1.79M","-0.75%"
"06/09/2026","185.00","184.99","185.98","184.00","1.80M","2.05%"
"06/08/2026","181.29","183.00","183.00","180.00","2.21M","-1.60%"
"06/05/2026","184.24","187.00","187.54","183.00","2.50M","-1.20%"
"06/04/2026","186.48","186.00","187.90","186.00","1.29M","0.71%"
"06/03/2026","185.16","186.00","187.74","184.01","1.46M","-1.35%"
"06/02/2026","187.69","189.00","190.99","186.02","2.29M","-0.74%"
"06/01/2026","189.09","194.00","194.00","188.50","2.53M","-2.67%"
"05/29/2026","194.27","197.01","200.50","192.80","8.87M","-0.27%"
"05/25/2026","194.79","192.00","196.00","190.26","7.49M","4.99%"
"05/22/2026","185.53","187.50","191.48","184.60","5.55M","-0.64%"
"05/21/2026","186.73","185.00","189.33","183.15","6.81M","3.53%"
"05/20/2026","180.36","177.50","181.70","175.50","3.23M","1.65%"
"05/19/2026","177.43","179.99","179.99","175.81","2.54M","1.34%"
"05/18/2026","175.09","177.90","177.90","173.00","4.95M","-2.59%"
"05/15/2026","179.74","181.90","182.65","178.50","2.78M","-0.67%"
"05/14/2026","180.95","182.30","183.79","180.03","2.10M","-0.78%"
"05/13/2026","182.38","186.84","188.40","181.70","2.30M","-2.33%"
"05/12/2026","186.73","189.88","192.40","185.90","3.42M","-1.51%"
"05/11/2026","189.60","190.00","191.00","188.50","2.40M","-1.54%"
"05/08/2026","192.56","192.00","194.00","189.05","3.68M","-1.27%"
"05/07/2026","195.04","196.00","201.50","193.60","10.23M","0.78%"
"05/06/2026","193.54","181.00","193.73","180.82","10.52M","9.89%"
"05/05/2026","176.12","174.00","178.00","171.00","5.25M","0.19%"
"05/04/2026","175.79","179.00","185.00","174.00","4.64M","0.02%"
"04/30/2026","175.76","182.10","182.10","172.00","12.16M","-5.49%"
"04/29/2026","185.97","202.50","205.00","183.25","15.39M","-8.16%"
"04/28/2026","202.49","201.05","206.24","199.12","4.38M","-1.57%"
"04/27/2026","205.73","215.00","215.50","203.33","7.15M","-3.52%"
"04/24/2026","213.23","207.00","216.00","199.10","10.24M","3.55%"
"04/23/2026","205.91","208.50","211.00","205.05","4.03M","-1.30%"
"04/22/2026","208.62","212.54","214.79","208.00","4.76M","-1.61%"
"04/21/2026","212.04","217.97","221.20","210.00","9.63M","-1.74%"
"04/20/2026","215.80","212.00","224.49","205.10","21.66M","1.38%"
"04/17/2026","212.86","195.50","212.86","195.00","17.63M","10.00%"
"04/16/2026","193.51","191.00","195.60","191.00","5.02M","1.80%"
"04/15/2026","190.08","195.00","195.85","188.01","6.09M","0.76%"
"04/14/2026","188.64","185.00","190.00","183.50","4.99M","4.96%"
"04/13/2026","179.73","185.00","186.00","178.05","4.35M","-5.52%"
"04/10/2026","190.23","188.93","191.75","187.51","5.70M","2.21%"
"04/09/2026","186.12","184.48","189.98","178.00","10.11M","1.21%"
"04/08/2026","183.90","183.90","183.90","183.90","1.47M","10.00%"
"04/07/2026","167.18","168.00","168.00","165.00","5.51M","-1.47%"
"04/06/2026","169.67","170.50","172.76","164.07","5.36M","-0.19%"
"04/03/2026","170.00","165.01","174.49","165.01","4.71M","-1.16%"
"04/02/2026","171.99","171.00","174.00","168.00","4.93M","-5.08%"
"04/01/2026","181.20","171.75","184.38","171.75","11.45M","7.49%"
"03/31/2026","168.58","160.00","172.09","159.11","11.90M","7.21%"
"03/30/2026","157.25","168.50","168.50","152.40","13.61M","-6.71%"
"03/27/2026","168.56","175.00","175.50","167.21","4.65M","-3.60%"
"03/26/2026","174.86","182.00","183.00","172.50","4.33M","-5.03%"
"03/25/2026","184.12","179.05","184.98","178.51","11.80M","3.23%"
"03/24/2026","178.36","185.25","187.25","177.19","6.69M","-1.63%"
"03/19/2026","181.32","181.00","184.00","176.00","10.06M","-1.76%"
"03/18/2026","184.57","191.00","192.55","178.00","10.89M","-2.86%"
"03/17/2026","190.00","193.00","198.49","177.00","11.35M","-16.82%"
"03/16/2026","228.42","244.01","248.01","225.50","17.86M","-6.10%"
"03/13/2026","243.27","243.00","245.49","240.80","3.85M","-0.22%"
"03/12/2026","243.81","243.00","247.00","241.01","6.16M","-0.55%"
"03/11/2026","245.16","242.00","247.10","238.00","11.58M","1.98%"
"03/10/2026","240.40","240.00","245.38","234.05","10.83M","6.99%"
"03/09/2026","224.69","245.00","245.00","224.37","21.09M","-9.87%"
"03/06/2026","249.30","251.15","252.00","246.05","3.97M","-0.56%"
"03/05/2026","250.70","246.75","252.48","246.00","5.08M","2.07%"
"03/04/2026","245.62","255.01","255.01","244.00","10.10M","-2.97%"
"03/03/2026","253.13","240.00","256.90","238.00","13.25M","7.35%"
"03/02/2026","235.80","235.40","249.50","235.37","20.22M","-9.83%"
