"Date","Price","Open","High","Low","Vol.","Change %"
"07/03/2026","248.71","245.33","249.99","245.01","7.70M","1.12%"
"07/02/2026","245.95","245.98","247.45","244.00","4.32M","0.91%"
"07/01/2026","243.74","243.89","245.00","241.80","3.46M","0.46%"
"06/30/2026","242.62","245.75","249.00","241.00","6.67M","-0.76%"
"06/29/2026","244.49","247.98","249.90","243.00","3.45M","-1.41%"
"06/24/2026","247.98","245.05","248.70","244.36","4.10M","1.50%"
"06/23/2026","244.32","243.97","246.50","242.55","4.86M","0.70%"
"06/22/2026","242.63","244.01","244.98","240.90","7.08M","0.29%"
"06/19/2026","241.94","250.49","252.00","240.16","12.04M","-2.86%"
"06/18/2026","249.06","246.30","251.50","246.30","9.55M","1.42%"
"06/17/2026","245.58","241.00","247.10","239.50","12.35M","2.80%"
"06/16/2026","238.89","233.80","240.45","231.13","9.14M","2.62%"
"06/15/2026","232.78","233.90","233.90","226.70","8.15M","3.07%"
"06/12/2026","225.84","226.99","228.25","224.00","3.40M","1.42%"
"06/11/2026","222.67","224.88","224.88","221.80","2.99M","-0.62%"
"06/10/2026","224.06","223.51","226.00","223.51","998.27K","-0.55%"
"06/09/2026","225.30","228.01","228.95","224.90","2.49M","0.21%"
"06/08/2026","224.82","227.00","227.00","224.00","2.23M","-1.71%"
"06/05/2026","228.73","233.50","234.09","228.01","2.75M","-1.74%"
"06/04/2026","232.78","229.00","233.88","228.50","4.81M","2.02%"
"06/03/2026","228.18","228.50","231.03","226.90","2.43M","-0.95%"
"06/02/2026","230.37","227.98","234.90","227.51","3.92M","0.99%"
"06/01/2026","228.11","238.00","238.05","227.00","4.21M","-3.97%"
"05/29/2026","237.53","240.68","241.45","236.62","3.70M","-1.33%"
"05/25/2026","240.73","239.99","242.00","238.50","4.81M","2.33%"
"05/22/2026","235.26","235.00","236.89","232.56","4.78M","0.49%"
"05/21/2026","234.11","231.88","234.94","230.00","6.17M","3.23%"
"05/20/2026","226.79","223.00","227.90","222.24","2.92M","2.04%"
"05/19/2026","222.26","220.10","223.69","219.25","3.50M","2.00%"
"05/18/2026","217.90","224.01","225.99","217.35","3.07M","-4.17%"
"05/15/2026","227.37","227.55","229.00","222.00","3.20M","-0.07%"
"05/14/2026","227.54","230.00","232.10","226.80","2.17M","-1.04%"
"05/13/2026","229.94","228.00","231.88","228.00","2.52M","0.04%"
"05/12/2026","229.84","231.80","235.78","228.50","6.20M","-0.86%"
"05/11/2026","231.84","228.95","232.50","227.00","3.28M","0.83%"
"05/08/2026","229.93","230.50","233.69","228.51","5.01M","-2.11%"
"05/07/2026","234.88","233.73","237.09","230.30","7.07M","0.93%"
"05/06/2026","232.72","222.00","237.38","222.00","17.20M","7.76%"
"05/05/2026","215.97","208.00","218.00","205.51","6.32M","3.25%"
"05/04/2026","209.17","210.89","216.40","207.00","6.46M","1.22%"
"04/30/2026","206.64","215.90","216.00","202.10","7.94M","-5.16%"
"04/29/2026","217.89","226.00","227.89","216.50","5.25M","-3.36%"
"04/28/2026","225.47","226.00","228.45","225.00","2.83M","-1.36%"
"04/27/2026","228.59","230.50","234.95","227.50","3.70M","-1.47%"
"04/24/2026","232.00","225.97","234.20","223.01","4.90M","1.65%"
"04/23/2026","228.23","233.40","233.50","226.51","2.78M","-2.48%"
"04/22/2026","234.04","238.00","239.65","233.15","4.63M","-2.30%"
"04/21/2026","239.56","242.01","243.45","238.00","6.23M","-0.09%"
"04/20/2026","239.77","235.00","246.88","232.00","15.03M","0.56%"
"04/17/2026","238.43","230.25","241.80","227.50","13.61M","4.45%"
"04/16/2026","228.28","225.10","231.00","225.07","11.45M","2.84%"
"04/15/2026","221.97","226.90","226.90","221.06","6.86M","1.50%"
"04/14/2026","218.70","219.00","220.48","218.00","3.37M","1.97%"
"04/13/2026","214.47","220.00","221.90","213.00","5.88M","-4.45%"
"04/10/2026","224.47","225.00","227.00","222.65","6.55M","0.17%"
"04/09/2026","224.09","225.98","226.45","221.00","8.70M","-1.64%"
"04/08/2026","227.83","227.83","227.83","221.00","10.19M","10.00%"
"04/07/2026","207.12","204.94","208.40","203.60","4.85M","-0.26%"
"04/06/2026","207.65","201.09","209.25","199.50","8.69M","3.27%"
"04/03/2026","201.08","196.00","207.25","196.00","6.83M","-0.06%"
"04/02/2026","201.21","203.99","204.00","198.02","4.64M","-3.96%"
"04/01/2026","209.51","205.00","213.05","204.25","12.06M","5.72%"
"03/31/2026","198.18","197.00","203.50","195.11","6.64M","0.76%"
"03/30/2026","196.68","202.99","203.00","186.90","12.44M","-3.91%"
"03/27/2026","204.68","207.98","209.35","201.12","9.02M","-2.94%"
"03/26/2026","210.88","219.00","219.35","209.00","5.09M","-4.34%"
"03/25/2026","220.45","217.00","222.00","216.80","7.65M","2.65%"
"03/24/2026","214.76","220.00","221.00","213.54","5.72M","0.43%"
"03/19/2026","213.83","216.49","216.49","210.50","5.06M","-2.53%"
"03/18/2026","219.37","208.00","221.50","205.50","6.98M","6.20%"
"03/17/2026","206.57","204.00","207.33","200.10","3.16M","2.14%"
"03/16/2026","202.25","210.11","211.80","200.71","2.01M","-3.46%"
"03/13/2026","209.50","209.48","212.00","206.20","2.83M","-0.53%"
"03/12/2026","210.62","210.00","216.47","208.00","3.52M","-1.92%"
"03/11/2026","214.74","224.87","224.87","213.06","4.19M","-2.55%"
"03/10/2026","220.36","219.80","224.50","215.10","8.00M","7.61%"
"03/09/2026","204.77","213.50","213.50","194.06","12.83M","-4.65%"
"03/06/2026","214.75","218.59","219.50","210.51","8.52M","-1.67%"
"03/05/2026","218.40","205.07","222.00","205.00","14.69M","6.95%"
"03/04/2026","204.21","199.00","205.50","196.10","21.87M","2.33%"
"03/03/2026","199.56","195.00","205.00","191.11","12.29M","2.30%"
"03/02/2026","195.08","195.08","211.00","195.08","13.76M","-10.00%"
"02/27/2026","216.75","217.95","220.99","214.55","4.60M","-1.51%"
"02/26/2026","220.08","211.00","221.00","206.11","9.74M","3.08%"
"02/25/2026","213.51","220.60","221.50","212.00","4.91M","-2.77%"
"02/24/2026","219.59","221.24","226.00","218.00","8.21M","-0.75%"
"02/23/2026","221.25","228.87","233.25","219.80","4.85M","-3.39%"
"02/20/2026","229.02","224.90","231.00","224.50","6.43M","2.36%"
"02/19/2026","223.74","237.00","237.00","220.00","7.69M","-5.54%"
"02/18/2026","236.86","236.50","238.90","231.15","27.58M","0.82%"
"02/17/2026","234.94","232.51","237.60","230.01","8.12M","1.67%"
"02/16/2026","231.09","237.00","241.00","228.10","11.76M","-2.19%"
"02/13/2026","236.27","234.00","238.00","228.97","12.91M","-0.38%"
"02/12/2026","237.17","248.00","249.00","232.20","16.50M","-4.52%"
"02/11/2026","248.39","252.70","254.74","246.97","2.79M","-1.70%"
"02/10/2026","252.68","256.00","256.99","251.01","4.73M","-0.46%"
"02/09/2026","253.84","265.56","265.56","247.20","17.06M","-2.92%"
"02/06/2026","261.47","276.50","276.50","259.90","20.34M","-5.01%"
"02/04/2026","275.26","277.01","279.33","273.65","2.50M","-0.72%"
"02/03/2026","277.26","280.40","282.12","276.50","4.69M","-0.74%"
"02/02/2026","279.32","275.15","282.00","273.80","5.55M","0.71%"
"01/30/2026","277.34","273.11","284.60","273.03","9.29M","1.91%"
"01/29/2026","272.15","282.00","284.20","270.50","13.53M","-3.33%"
"01/28/2026","281.52","275.77","283.64","275.00","9.44M","2.91%"
"01/27/2026","273.56","268.50","276.00","266.05","8.39M","1.37%"
"01/26/2026","269.85","270.99","273.85","268.00","4.55M","-0.78%"
"01/23/2026","271.97","275.20","276.01","269.25","4.78M","-1.16%"
"01/22/2026","275.15","274.46","279.00","270.70","8.39M","0.52%"
"01/21/2026","273.74","271.50","278.39","271.30","14.59M","0.94%"
"01/20/2026","271.18","269.79","272.60","262.20","10.70M","2.43%"
"01/19/2026","264.75","266.50","269.99","263.01","10.54M","0.00%"
"01/16/2026","264.76","251.51","266.00","251.10","24.06M","5.95%"
"01/15/2026","249.88","247.50","253.90","244.00","14.98M","1.92%"
"01/14/2026","245.17","240.80","247.00","239.12","22.57M","2.13%"
"01/13/2026","240.06","238.00","241.23","234.25","10.71M","1.28%"
