Date,Price,Open,High,Low,Vol.,Change %
05/01/2016,30.15,30.8,32.87,29.86,17.38M,-1.60%
06/01/2016,33.95,30,33.99,30,28.39M,12.60%
07/01/2016,34.15,33.86,35,32.45,9.40M,0.59%
08/01/2016,32.65,34.3,35.88,32.2,19.26M,-4.39%
09/01/2016,35.73,32.65,35.73,32,29.87M,9.43%
10/01/2016,32.99,34.9,35.49,30.35,8.72M,-7.67%
11/01/2016,35,33,35.71,33,19.13M,6.09%
12/01/2016,37.05,35.25,37.5,34.31,25.46M,5.86%
01/01/2017,38.6,36.76,42.2,36.76,41.59M,4.18%
02/01/2017,40,38.75,41,37.05,16.54M,3.63%
03/01/2017,38.66,39.9,40.5,37.05,11.29M,-3.35%
04/01/2017,33.91,39.32,39.33,31.66,4.72M,-12.29%
05/01/2017,31.5,33.55,34.54,31.5,6.58M,-7.11%
06/01/2017,33,31.59,33.85,30.15,8.91M,4.76%
07/01/2017,32.5,33,33.25,30,7.44M,-1.52%
08/01/2017,28.4,32.74,33.5,28.3,2.10M,-12.62%
09/01/2017,34.47,27.61,34.5,27.09,13.50M,21.37%
10/01/2017,30.5,34,34,29.25,1.39M,-11.52%
11/01/2017,30.02,31,33,29.5,929.50K,-1.57%
12/01/2017,31,30.14,31.05,26.75,2.10M,3.26%
01/01/2018,32.5,30.2,33.5,29.15,5.54M,4.84%
02/01/2018,31,32.6,33.5,30,4.09M,-4.62%
03/01/2018,32.84,31.2,32.99,30.5,13.96M,5.94%
04/01/2018,31.79,33.1,34.1,31.5,25.38M,-3.20%
05/01/2018,28.5,31.72,31.72,27.5,2.12M,-10.35%
06/01/2018,32.4,28.5,32.5,28.03,8.59M,13.68%
07/01/2018,35,32.6,36.25,29.56,27.41M,8.02%
08/01/2018,33.71,34.99,35.99,33.48,6.13M,-3.69%
09/01/2018,36.51,33.03,38.9,32.16,3.28M,8.31%
10/01/2018,36,36.25,37.5,34.21,8.26M,-1.40%
11/01/2018,34.5,36.16,36.75,33.81,6.52M,-4.17%
12/01/2018,36.47,33.56,36.75,32.1,22.93M,5.71%
01/01/2019,34,35.5,36,33.71,1.81M,-6.77%
02/01/2019,31.05,34,34.1,30.06,2.78M,-8.68%
03/01/2019,31.3,32,33.39,30,1.74M,0.81%
04/01/2019,28.19,32.5,32.7,26.86,4.30M,-9.94%
05/01/2019,27.8,27.7,28.77,24.94,2.96M,-1.38%
06/01/2019,29.83,27.7,29.85,25,2.12M,7.30%
07/01/2019,25.48,30,30.49,23.66,473.00K,-14.58%
08/01/2019,24.61,24.27,27,24.01,1.21M,-3.41%
09/01/2019,26.2,24.01,27.65,23.51,2.91M,6.46%
10/01/2019,25.9,26.25,26.5,25,1.04M,-1.15%
11/01/2019,27.89,25.84,28.15,25.55,15.68M,7.68%
12/01/2019,26.6,28.73,28.73,25.6,6.98M,-4.63%
01/01/2020,25.45,26.8,28,25.44,7.75M,-4.32%
02/01/2020,24.78,24.82,26,23.2,740.50K,-2.63%
03/01/2020,21.4,24.78,26.48,19.26,1.86M,-13.64%
04/01/2020,23.6,21.2,24,21.11,2.71M,10.28%
05/01/2020,28.8,23.69,28.8,21,8.08M,22.03%
06/01/2020,26.75,28.11,29.49,23.1,6.14M,-7.12%
07/01/2020,29.69,26.9,29.75,26.9,9.60M,10.99%
08/01/2020,27.39,29,29.3,25.49,6.16M,-7.75%
09/01/2020,29.75,27.4,32.19,27.25,10.72M,8.62%
10/01/2020,27.74,29.9,31.7,27.25,9.83M,-6.76%
11/01/2020,28,28.5,28.9,26.8,647.50K,0.94%
12/01/2020,29.12,27.7,29.75,27.65,3.68M,4.00%
01/01/2021,29.84,29.1,30.6,28,18.54M,2.47%
02/01/2021,28.4,29.99,30.07,28,2.49M,-4.83%
03/01/2021,29.5,28.41,30.5,28,9.76M,3.87%
04/01/2021,26.2,29.2,30,25.9,11.27M,-11.19%
05/01/2021,29.5,26.03,30.35,25.9,2.46M,12.60%
06/01/2021,28.75,28.61,29.52,28,1.30M,-2.54%
07/01/2021,28.2,28.9,29.09,28.1,878.50K,-1.91%
08/01/2021,29.5,28.14,30.2,27.89,4.13M,4.61%
09/01/2021,30.6,29.64,31,28.05,2.88M,3.73%
10/01/2021,30.25,28.61,30.5,28.26,753.50K,-1.14%
11/01/2021,35.9,30.3,36.05,28.52,22.07M,18.68%
12/01/2021,35.99,35.98,37,32.65,38.05M,0.25%
01/01/2022,35.84,35.8,36.75,34.2,634.00K,-0.42%
02/01/2022,36.5,35.82,37.89,34.5,5.04M,1.84%
03/01/2022,42,37,42,36.16,25.85M,15.07%
04/01/2022,39.28,42.45,44.5,37,7.23M,-6.48%
05/01/2022,36.41,38,40.89,35.5,4.38M,-7.31%
06/01/2022,37.85,36.44,38.94,34.4,1.86M,3.95%
07/01/2022,35.95,37.95,39.25,35,836.32K,-5.02%
08/01/2022,36.95,35.2,38.43,34.1,7.07M,2.78%
09/01/2022,38.44,36.8,39.49,36.1,8.53M,4.03%
10/01/2022,35.45,38,38.5,35.02,1.75M,-7.78%
11/01/2022,36.52,35.45,38,33.35,2.50M,3.02%
12/01/2022,33.8,36.3,37.61,31.5,4.75M,-7.45%
01/01/2023,31.1,33.26,34.69,27,1.45M,-7.99%
02/01/2023,29.6,30.94,31.49,28,2.26M,-4.82%
03/01/2023,30,29.5,30.74,28.12,752.15K,1.35%
04/01/2023,28.54,30.01,32.6,28,2.61M,-4.87%
05/01/2023,27.89,28.7,29.7,27,1.19M,-2.28%
06/01/2023,29,28,30,27.01,1.52M,3.98%
07/01/2023,28,30.2,31.5,27,1.52M,-3.45%
08/01/2023,27.95,28.13,29.53,27,1.36M,-0.18%
09/01/2023,29,27.41,29.5,26.1,983.00K,3.76%
10/01/2023,31.75,28.9,33.77,26.86,2.07M,9.48%
11/01/2023,33.74,31.8,35.5,30.7,29.76M,6.27%
12/01/2023,35.49,33.7,37.1,32.4,16.26M,5.19%
01/01/2024,33.96,35.65,38.15,33.31,35.81M,-4.31%
02/01/2024,37,33.52,37,33.21,6.40M,8.95%
03/01/2024,39.74,37.2,40.5,36.3,9.79M,7.41%
04/01/2024,53.01,39.9,55.6,39.75,23.70M,33.39%
05/01/2024,48.98,52.88,52.88,47.67,10.06M,-7.60%
06/01/2024,51.55,48.5,53,47,7.36M,5.25%
07/01/2024,54.5,51.94,54.5,49,17.33M,5.72%
08/01/2024,54,53.5,56.2,50.79,48.87M,-0.92%
09/01/2024,59.55,54.2,60.9,51.14,53.83M,10.28%
10/01/2024,63.93,59.55,67.02,58.99,66.26M,7.36%
11/01/2024,71.59,63.94,73.1,61.2,28.83M,11.98%
12/01/2024,78.28,72.02,82.49,70,31.89M,9.34%
01/01/2025,83.12,78.28,86.18,76,16.45M,6.18%
02/01/2025,83.86,84,89,78,7.26M,0.89%
03/01/2025,86.12,84,89.99,82.25,16.05M,2.69%
04/01/2025,79.68,87.45,94.56,77.9,28.65M,-7.48%
05/01/2025,86.88,80.01,90,70,13.97M,9.04%
06/01/2025,99.41,86.88,101.9,83.09,12.13M,14.42%
07/01/2025,112,99,115.28,98.99,40.49M,12.66%
08/01/2025,121,112,132,112,53.59M,8.04%
09/01/2025,128.22,121.2,130.99,118.8,20.72M,5.97%
10/01/2025,132.59,128.8,155.14,128.11,42.33M,3.41%
11/01/2025,148.88,134.99,158.44,126.49,21.49M,12.29%
12/01/2025,151.61,149.88,155.49,142.5,25.31M,1.83%
01/01/2026,171.03,151.61,186.88,151.03,47.22M,12.81%
02/01/2026,163.33,172.31,192.8,146,36.01M,-4.50%
03/01/2026,123.6,149,158.89,120.55,28.12M,-24.32%
04/01/2026,128.2,125.49,132.99,123.61,3.72M,3.72%
