Date,Price,Open,High,Low,Vol.,Change %
05/01/2016,113.75,107.75,118.5,106.15,37.61M,6.30%
06/01/2016,115,113.6,122.89,112.65,25.40M,1.10%
07/01/2016,113.8,115.1,118.6,113.12,15.90M,-1.04%
08/01/2016,110.86,113.89,115,110.5,11.37M,-2.58%
09/01/2016,103.9,111,113.15,102.95,19.94M,-6.28%
10/01/2016,104.5,104.6,108.24,102,19.42M,0.58%
11/01/2016,105.1,104,107.38,103.5,19.27M,0.57%
12/01/2016,104.4,104.9,107.24,103,26.41M,-0.67%
01/01/2017,115.81,104.8,119.9,104.8,107.91M,10.93%
02/01/2017,108,116.25,116.8,107.9,18.82M,-6.74%
03/01/2017,103.9,108.3,111.96,103.26,17.79M,-3.80%
04/01/2017,96,103.8,104.1,92.39,34.58M,-7.60%
05/01/2017,96.28,95.45,101.5,92.9,44.32M,0.29%
06/01/2017,82.5,96.1,96.1,77,23.78M,-14.31%
07/01/2017,80.27,82.15,88.2,77.25,29.52M,-2.70%
08/01/2017,70.86,80.51,82.5,69.8,22.30M,-11.72%
09/01/2017,83.14,71.25,84.73,70.5,38.30M,17.33%
10/01/2017,80,83.5,84.25,77.5,22.89M,-3.78%
11/01/2017,81.07,80.23,84,80,11.89M,1.34%
12/01/2017,79,81.4,81.68,73.25,23.90M,-2.55%
01/01/2018,90.3,79.2,93.24,78.4,43.49M,14.30%
02/01/2018,88.7,90.7,90.7,85,9.10M,-1.77%
03/01/2018,93.75,89,95.45,84,28.10M,5.69%
04/01/2018,99.65,93.75,102.85,93.1,41.49M,6.29%
05/01/2018,98.1,99.61,100.55,93.9,20.99M,-1.56%
06/01/2018,98.89,98.4,101.5,95,30.49M,0.81%
07/01/2018,99.56,99.5,102.75,92.95,19.80M,0.68%
08/01/2018,97.84,99.25,103.8,95.7,22.92M,-1.73%
09/01/2018,97.75,97.25,99.2,92.5,11.03M,-0.09%
10/01/2018,98.5,97.5,100.5,87,14.45M,0.77%
11/01/2018,98.75,98,100.74,96.31,8.43M,0.25%
12/01/2018,93,97.75,97.75,90.06,12.47M,-5.82%
01/01/2019,106.5,93.25,108.25,92.6,25.86M,14.52%
02/01/2019,107.14,106.52,109.75,103.02,13.41M,0.60%
03/01/2019,104.5,107.5,108.5,103,8.03M,-2.46%
04/01/2019,104,104.02,107.25,99.3,9.32M,-0.48%
05/01/2019,93,104.15,104.15,84.7,9.94M,-10.58%
06/01/2019,86.52,91.75,98.5,86.01,10.10M,-6.97%
07/01/2019,95.05,87.75,99.79,87.75,11.10M,9.86%
08/01/2019,91.31,95.79,97.02,87.01,27.21M,-3.93%
09/01/2019,93.45,91.95,94.47,89,12.77M,2.34%
10/01/2019,94,93.03,98.5,91.9,14.64M,0.59%
11/01/2019,106.01,94.24,107.5,94,41.48M,12.78%
12/01/2019,101.54,106.7,107.85,99,22.59M,-4.22%
01/01/2020,105.14,101.75,108,98.5,22.11M,3.55%
02/01/2020,103.4,104.7,111.35,100.5,25.69M,-1.65%
03/01/2020,93.05,103.95,107,77.11,32.42M,-10.01%
04/01/2020,111.8,92.75,113,89.99,25.84M,20.15%
05/01/2020,108.9,112.4,113,106.3,9.82M,-2.59%
06/01/2020,110.05,109.2,110.2,103.01,15.01M,1.06%
07/01/2020,110.35,110.01,113.5,109.25,17.26M,0.27%
08/01/2020,108,110.55,118.19,104,41.22M,-2.13%
09/01/2020,108,108.01,113,107.25,30.25M,0.00%
10/01/2020,105.98,107.55,110.6,104.4,9.44M,-1.87%
11/01/2020,103.25,105.5,106.49,102.5,11.15M,-2.58%
12/01/2020,108.85,103.42,111.2,99.95,32.72M,5.42%
01/01/2021,110.11,108.94,115,108.6,20.07M,1.16%
02/01/2021,110.75,110.3,111.72,107.89,11.14M,0.58%
03/01/2021,104,110.5,110.97,101.25,13.08M,-6.09%
04/01/2021,105,104.45,106.73,101.5,12.01M,0.96%
05/01/2021,107.39,105.5,110.2,104.6,7.30M,2.28%
06/01/2021,106.03,107.55,108.8,104.6,14.57M,-1.27%
07/01/2021,106.5,106.7,109.61,105.8,7.01M,0.44%
08/01/2021,105.95,106.5,107.5,105,5.02M,-0.52%
09/01/2021,101.99,105.99,109.5,101.55,12.42M,-3.74%
10/01/2021,103,102,103.15,95.4,24.36M,0.99%
11/01/2021,100.5,103,106.8,99.9,31.26M,-2.43%
12/01/2021,100.26,100.99,102.02,97.25,15.95M,-0.24%
01/01/2022,106.8,100.27,107.15,100,13.20M,6.52%
02/01/2022,109.89,107,111.9,105.8,23.94M,2.89%
03/01/2022,113.52,110,114.5,104.15,21.10M,3.30%
04/01/2022,121,112.3,128.89,111.65,21.87M,6.59%
05/01/2022,114,120.5,122.45,111,13.97M,-5.79%
06/01/2022,110.2,114.5,116,105.5,18.18M,-3.33%
07/01/2022,103.51,111.01,113.5,102.16,8.24M,-6.07%
08/01/2022,104.11,103.8,105.5,100.75,17.18M,0.58%
09/01/2022,101.31,104,104.49,99.85,7.54M,-2.69%
