Date,Price,Open,High,Low,Vol.,Change %
05/01/2016,156.83,148.91,157.02,145.84,29.06M,5.98%
06/01/2016,155.11,156.92,166.29,149.4,26.49M,-1.09%
07/01/2016,138.64,153.72,154.16,137.06,29.54M,-10.62%
08/01/2016,134.85,138.32,140.08,133.22,13.43M,-2.73%
09/01/2016,139.23,135.13,139.23,127.52,32.57M,3.25%
10/01/2016,138.08,142.7,142.73,137.71,11.03M,-0.83%
11/01/2016,140.36,138.04,143.2,137.51,10.43M,1.65%
12/01/2016,182.23,140.36,182.89,140.36,36.20M,29.83%
01/01/2017,184.71,182.71,200.79,180.81,50.59M,1.36%
02/01/2017,170.82,185.57,200.27,167.91,36.52M,-7.52%
03/01/2017,162.13,172.15,181.04,162,9.43M,-5.08%
04/01/2017,157.4,163.5,170.56,142.06,14.25M,-2.92%
05/01/2017,150.87,156.5,164.5,149,10.22M,-4.15%
06/01/2017,121,150,151,116.5,9.15M,-19.80%
07/01/2017,123.41,121.9,126.85,110.98,7.23M,1.99%
08/01/2017,86,124,134.85,82.91,16.66M,-30.31%
09/01/2017,95.03,86.3,102.88,85.6,7.49M,10.50%
10/01/2017,82.63,94.5,94.8,78.89,6.54M,-13.05%
11/01/2017,81.5,83,90,79.5,3.87M,-1.37%
12/01/2017,81.2,81.51,82,69,7.54M,-0.37%
01/01/2018,92.5,79.4,98.7,72.5,13.59M,13.92%
02/01/2018,88.25,92.25,93.8,82.35,10.67M,-4.59%
03/01/2018,101.65,88,107.34,86.87,23.58M,15.18%
04/01/2018,101,102.8,107.75,99,15.02M,-0.64%
05/01/2018,95.95,101,101,85,5.39M,-5.00%
06/01/2018,89.06,94.27,100.9,84.05,4.13M,-7.18%
07/01/2018,91.1,89,97,76.2,4.32M,2.29%
08/01/2018,88.96,91.36,95.7,88.61,4.88M,-2.35%
09/01/2018,84,88.51,89.9,80.7,1.66M,-5.58%
10/01/2018,91.5,84.5,97.2,69,5.08M,8.93%
11/01/2018,86.68,90.51,95.75,82,4.87M,-5.27%
12/01/2018,79.4,83.5,91.5,79.23,6.25M,-8.40%
01/01/2019,85.5,79.99,86.9,77,7.42M,7.68%
02/01/2019,74.13,85.3,91.49,72.5,19.73M,-13.30%
03/01/2019,68.1,74.89,77.65,67.06,4.67M,-8.13%
04/01/2019,61,68.98,68.98,56.3,3.60M,-10.43%
05/01/2019,50.85,61,61.9,41.79,5.41M,-16.64%
06/01/2019,58.33,50.1,59.9,46,3.55M,14.71%
07/01/2019,46,56.43,57.99,45.05,2.23M,-21.14%
