Date,Price,Open,High,Low,Vol.,Change %
05/01/2016,175.5,190.79,204,174,33.84M,-7.11%
06/01/2016,197,175.89,213.5,170.01,44.92M,12.25%
07/01/2016,216.51,199,224.2,194,19.61M,9.90%
08/01/2016,217.1,218.5,226.3,212.4,15.67M,0.27%
09/01/2016,221,217.49,231.85,215.01,12.80M,1.80%
10/01/2016,223,221.89,229.8,218,7.61M,0.90%
11/01/2016,227.77,225,252,222.01,19.84M,2.14%
12/01/2016,272.25,228.33,283.99,222.52,26.73M,19.53%
01/01/2017,261,273.99,283.99,255,18.28M,-4.13%
02/01/2017,272.5,263,277.25,259,19.80M,4.41%
03/01/2017,269.95,271.55,293.5,267,45.05M,-0.94%
04/01/2017,275.4,270,279.98,252.11,20.94M,2.02%
05/01/2017,271.05,274.51,314,270.36,64.03M,-1.58%
06/01/2017,269.86,271,274.62,235,40.53M,-0.44%
07/01/2017,236.26,270,270,233,27.68M,-12.45%
08/01/2017,177.66,231,239.44,177.66,21.82M,-24.80%
09/01/2017,180.76,168.78,197.9,152.34,30.37M,1.74%
10/01/2017,160.55,180.76,182.14,160.02,23.09M,-11.18%
11/01/2017,163,161,171.9,160.16,20.60M,1.53%
12/01/2017,167,162,173.12,148.25,33.71M,2.45%
01/01/2018,194.02,168.99,213.2,166,42.31M,16.18%
02/01/2018,208.5,195,216,189,18.71M,7.46%
03/01/2018,212.15,208,216.5,197.6,17.52M,1.75%
04/01/2018,194,210.4,229.72,192.5,25.25M,-8.56%
05/01/2018,171.19,196,196,166.56,22.63M,-11.76%
06/01/2018,166.44,165,190.99,161.12,27.97M,-2.77%
07/01/2018,177.5,167.89,188.6,155,31.40M,6.65%
08/01/2018,150.6,175.3,179.5,150.5,24.40M,-15.15%
09/01/2018,151.37,151.5,154.9,141.35,18.78M,0.51%
10/01/2018,144,152.5,152.99,123.51,48.63M,-4.87%
11/01/2018,139.86,145,150.1,132.48,31.86M,-2.87%
12/01/2018,118,141.02,141.9,117.25,27.54M,-15.63%
01/01/2019,149.1,119.35,151.5,118.12,30.62M,26.36%
02/01/2019,131.43,149.95,152.98,123,24.91M,-11.85%
03/01/2019,132.5,132,140,131.1,18.15M,0.81%
04/01/2019,127.32,132.9,133.4,120.01,32.70M,-3.91%
05/01/2019,123.51,126.52,129.12,117.12,26.85M,-2.99%
06/01/2019,113.26,123,128.4,110.28,15.55M,-8.30%
07/01/2019,120.05,112.98,123.94,111.99,24.13M,6.00%
08/01/2019,109.57,120.95,122.4,102.01,13.46M,-8.73%
09/01/2019,117.9,111,127.24,106.5,16.79M,7.60%
10/01/2019,127.5,118.4,136.1,117.5,21.06M,8.14%
11/01/2019,146.43,126.5,147,126.5,25.02M,14.85%
12/01/2019,158.8,150,168.39,147.01,28.06M,8.45%
01/01/2020,163.35,159,176.5,158.55,32.79M,2.87%
02/01/2020,156.79,163.12,175.5,151,29.39M,-4.02%
03/01/2020,103.03,159,162.95,93,32.56M,-34.29%
04/01/2020,100.11,103,111.5,98.99,41.82M,-2.83%
05/01/2020,97.51,100.8,100.89,94,29.51M,-2.60%
06/01/2020,96.1,96.61,105.68,95.26,42.44M,-1.45%
07/01/2020,122.25,96.8,125.35,95.8,50.74M,27.21%
08/01/2020,133.51,122.53,138.2,121,26.09M,9.21%
09/01/2020,130.95,135,138.5,125.25,20.34M,-1.92%
10/01/2020,130,130,141.5,126.6,20.00M,-0.73%
11/01/2020,129.75,129.99,134.87,125.25,40.19M,-0.19%
12/01/2020,132.7,130.5,138.22,129,113.52M,2.27%
01/01/2021,142.01,133.8,144.8,132.3,76.50M,7.02%
02/01/2021,123.49,142.47,142.69,116.4,48.51M,-13.04%
03/01/2021,116.8,123,125,114.01,26.81M,-5.42%
04/01/2021,126.5,116.78,129.2,112.11,24.29M,8.30%
05/01/2021,135.15,126,137.45,121.2,31.83M,6.84%
