Date,Price,Open,High,Low,Vol.,Change %
05/01/2016,594,550,628.9,542.5,7.01M,7.51%
06/01/2016,647,595.25,666.25,592,10.00M,8.92%
07/01/2016,741.5,646,744.5,640.16,6.17M,14.61%
08/01/2016,693.5,749.89,749.99,682.01,5.90M,-6.47%
09/01/2016,677,690.05,693.99,639.5,4.42M,-2.38%
10/01/2016,673,680,747,654,4.30M,-0.59%
11/01/2016,733,671,752.9,670,7.86M,8.92%
12/01/2016,863.9,735,890,720.01,10.34M,17.86%
01/01/2017,839.9,868.5,901,829.5,6.38M,-2.78%
02/01/2017,871,845,910,839.99,5.91M,3.70%
03/01/2017,835.02,875,897.4,828.99,6.95M,-4.13%
04/01/2017,885,840,905,836,6.58M,5.99%
05/01/2017,859.22,881,"1,005.00",856.52,20.56M,-2.91%
06/01/2017,841,864,868.5,765,11.71M,-2.12%
07/01/2017,707.85,830,830,705,6.56M,-15.83%
08/01/2017,597,715,731.4,585,6.46M,-15.66%
09/01/2017,565,588.5,624.89,560.25,3.65M,-5.36%
10/01/2017,486,563.99,570,480.5,12.04M,-13.98%
11/01/2017,492,485.88,542,486.6,6.77M,1.23%
12/01/2017,515.5,493,525.47,435.01,11.45M,4.78%
01/01/2018,615.21,515,678.25,507,12.18M,19.34%
02/01/2018,600.75,614.95,645,570.1,6.32M,-2.35%
03/01/2018,689.62,600,697,596,7.71M,14.79%
04/01/2018,656,705,731.8,644.5,6.17M,-4.88%
05/01/2018,547,658,662.9,530,5.12M,-16.62%
06/01/2018,507.93,543,586,475,7.56M,-7.14%
07/01/2018,550.98,510.94,576.47,454.25,11.19M,8.48%
08/01/2018,540.78,546.25,590,528.5,12.56M,-1.85%
09/01/2018,514,540.78,545,476,6.23M,-4.95%
10/01/2018,495,502.69,511,390,12.76M,-3.70%
11/01/2018,493.92,495,540,452,33.10M,-0.22%
12/01/2018,434.67,475.01,500,432.79,17.95M,-12.00%
01/01/2019,469.27,430.51,478,430,13.75M,7.96%
02/01/2019,466.74,465.1,513,443.86,14.96M,-0.54%
03/01/2019,428.24,467.99,483,413,9.63M,-8.25%
04/01/2019,385.35,425,427.79,365.01,15.25M,-10.02%
05/01/2019,423.81,388,442.64,332.3,16.50M,9.98%
06/01/2019,377.5,422,425,367.01,13.50M,-10.93%
07/01/2019,379,380,400.9,368,11.03M,0.40%
08/01/2019,350.03,381,382.5,320.2,9.34M,-7.64%
09/01/2019,341.89,352.5,374.53,332.5,13.78M,-2.33%
10/01/2019,350,341,395,339,28.71M,2.37%
11/01/2019,420.29,352,428.89,349.6,33.58M,20.08%
12/01/2019,426.26,423,438.5,407,16.90M,1.42%
