Date,Price,Open,High,Low,Vol.,Change %
05/01/2016,207,212,244.98,204,9.10M,-2.28%
06/01/2016,218.22,207.5,252.25,207,20.19M,5.42%
07/01/2016,220.01,221,231.1,215.5,7.28M,0.82%
08/01/2016,209.25,221.9,228,205.76,32.65M,-4.89%
09/01/2016,220.5,209.1,223.5,206.01,17.89M,5.38%
10/01/2016,214.5,220,232.89,210,15.65M,-2.72%
11/01/2016,222.5,214.95,229.5,212.1,14.90M,3.73%
12/01/2016,238.11,220.88,247,214,18.19M,7.02%
01/01/2017,243.51,237.9,258.5,236.6,15.22M,2.27%
02/01/2017,227.21,243.9,243.95,221,15.52M,-6.69%
03/01/2017,228,228,239.35,220,7.64M,0.35%
04/01/2017,216,227.4,229,209.1,11.98M,-5.26%
05/01/2017,220.3,217,267,212,45.51M,1.99%
06/01/2017,210.75,218,222,197,30.55M,-4.33%
07/01/2017,206.58,209.01,216.99,197.55,24.06M,-1.98%
08/01/2017,193.46,207,218,188.21,14.63M,-6.35%
09/01/2017,206.99,195.88,219,192.5,17.40M,6.99%
10/01/2017,200,209,215.9,196.55,10.34M,-3.38%
11/01/2017,204.31,199.1,214.99,198.5,9.65M,2.15%
12/01/2017,211,202.51,214,193.5,7.34M,3.27%
01/01/2018,226.35,212.5,243,207.61,16.26M,7.27%
02/01/2018,218,227,231,210.05,9.19M,-3.69%
03/01/2018,220.13,219,226.01,205,12.23M,0.98%
04/01/2018,208.8,218,224.01,208,11.62M,-5.15%
05/01/2018,203.89,208.98,211.5,191.2,15.62M,-2.35%
06/01/2018,197.77,202.44,216,196.06,10.53M,-3.00%
07/01/2018,207,198.2,216.5,188.4,10.20M,4.67%
08/01/2018,200,208.4,208.4,198.31,4.49M,-3.38%
09/01/2018,199.02,200.11,204.5,195.05,5.07M,-0.49%
10/01/2018,197,201,203,175.15,8.41M,-1.01%
11/01/2018,206.1,195.1,208.16,191.85,13.65M,4.62%
12/01/2018,194,208.1,208.4,186,12.03M,-5.87%
01/01/2019,208.34,195,210,186.8,8.65M,7.39%
02/01/2019,205.13,209,213,201,6.38M,-1.54%
03/01/2019,196.5,204.26,207.99,190,7.74M,-4.21%
04/01/2019,190,197.95,198,182,6.72M,-3.31%
05/01/2019,176.1,188.06,190.49,164.98,11.43M,-7.32%
06/01/2019,174.45,175.11,184.9,170,5.78M,-0.94%
07/01/2019,174.56,173,183,171,11.23M,0.06%
08/01/2019,168.51,176.98,176.98,150,8.99M,-3.47%
09/01/2019,171,166.1,174.93,158.3,9.18M,1.48%
10/01/2019,174.9,169.11,174.9,163.25,22.72M,2.28%
11/01/2019,199,170.45,204.9,170.45,17.71M,13.78%
12/01/2019,211,202.89,220,201.2,17.54M,6.03%
01/01/2020,211,206.5,225.71,204.12,14.04M,0.00%
02/01/2020,198.9,208.11,216.5,190.2,8.80M,-5.73%
03/01/2020,149.5,197,205.5,130.2,23.84M,-24.84%
04/01/2020,163,150.01,167.5,144.25,11.79M,9.03%
05/01/2020,151,169,169.9,145,6.18M,-7.36%
06/01/2020,161.5,147,174.99,147,6.99M,6.95%
07/01/2020,177.5,161.02,184.9,159,7.72M,9.91%
08/01/2020,170.99,177.4,187,166,13.90M,-3.67%
09/01/2020,174.01,170.15,182,169.16,9.97M,1.77%
10/01/2020,165.51,175.69,178,162.15,16.04M,-4.88%
11/01/2020,176.06,167.5,179.95,162,12.67M,6.37%
12/01/2020,187.7,176.98,188.99,175.16,16.11M,6.61%
01/01/2021,192.57,186,202.4,184.01,10.57M,2.59%
02/01/2021,183.1,194,197.6,181.15,13.95M,-4.92%
03/01/2021,172,183.49,189.88,164,12.72M,-6.06%
04/01/2021,163,173.5,175.95,161,8.69M,-5.23%
05/01/2021,166,163.99,168.99,161.01,10.28M,1.84%
06/01/2021,161,167,168.5,150,14.98M,-3.01%
07/01/2021,161.73,160.3,166.9,155.1,13.03M,0.45%
08/01/2021,164.51,162.99,169,159.95,7.59M,1.72%
09/01/2021,152.9,166.48,166.99,148.1,10.98M,-7.06%
10/01/2021,164,150.99,165,147.02,20.21M,7.26%
11/01/2021,157,165.7,166,150.05,43.41M,-4.27%
12/01/2021,153.35,157,157.5,146,11.01M,-2.32%
01/01/2022,161.2,152.8,163.46,152.4,10.84M,5.12%
02/01/2022,157.55,160.5,166.2,157,4.33M,-2.26%
03/01/2022,145.66,160.8,160.8,141.15,11.87M,-7.55%
04/01/2022,151.39,145.4,154.99,142.45,10.02M,3.93%
05/01/2022,133.49,150.89,151.5,132.5,10.11M,-11.82%
06/01/2022,123.5,133.99,135,119.41,17.34M,-7.48%
07/01/2022,122.5,122.97,129.4,117.7,7.47M,-0.81%
08/01/2022,119.8,121.6,137,119.1,9.61M,-2.20%
09/01/2022,119,120.6,122.5,115.55,6.49M,-0.67%
10/01/2022,121.99,118.02,122.4,115,7.57M,2.51%
11/01/2022,119.45,120.55,122,116.32,4.62M,-2.08%
12/01/2022,115,118.5,119.98,108.95,8.14M,-3.73%
01/01/2023,113.12,116.49,117.49,106.99,3.97M,-1.63%
02/01/2023,116.8,113.99,118.75,111.51,5.17M,3.25%
03/01/2023,114.99,117,121.7,113.8,11.56M,-1.55%
04/01/2023,120,114.99,121.1,113.31,5.72M,4.36%
05/01/2023,115.48,120.94,123,111.1,20.56M,-3.77%
06/01/2023,113.75,115.61,116,110,6.22M,-1.50%
07/01/2023,147.46,117.4,150.56,117.25,32.30M,29.64%
08/01/2023,129.26,148.9,153.5,128.95,34.34M,-12.34%
09/01/2023,129.5,130.94,132.99,124.5,40.32M,0.19%
10/01/2023,152.49,129.95,153.97,128.41,10.87M,17.75%
11/01/2023,167.5,152.5,176.5,141,23.32M,9.84%
12/01/2023,172,167.75,203.82,162,18.37M,2.69%
01/01/2024,179.6,171.25,181.43,171.25,8.63M,4.42%
02/01/2024,199,180.99,200,177.51,9.72M,10.80%
03/01/2024,203,199,205.77,185.9,13.81M,2.01%
04/01/2024,209.54,203,222,201,7.71M,3.22%
05/01/2024,207,205.35,217.5,195,12.07M,-1.21%
06/01/2024,227,208.15,255.3,193,11.12M,9.66%
07/01/2024,227.25,227.99,235,217,9.77M,0.11%
08/01/2024,214.4,229.99,234,210,7.06M,-5.65%
09/01/2024,240.4,214.32,247.5,211.9,6.60M,12.13%
10/01/2024,244.13,238.05,265.6,238,6.18M,1.55%
11/01/2024,271.26,245.98,292.48,238.11,16.80M,11.11%
12/01/2024,281.3,272,295.4,251,16.85M,3.70%
01/01/2025,283.64,282,290.4,276.05,6.99M,0.83%
02/01/2025,286.16,284,294,247.37,6.68M,0.89%
03/01/2025,280.66,286.16,294,274.57,6.48M,-1.92%
04/01/2025,269.16,280.94,295.2,266.5,21.78M,-4.10%
05/01/2025,276.79,271.9,297.35,253.01,13.10M,2.83%
06/01/2025,288.34,277.98,289,272.55,14.21M,4.17%
07/01/2025,343.02,288.34,364,287.5,16.06M,18.96%
08/01/2025,353.59,345,371.89,342.01,16.04M,3.08%
09/01/2025,356.98,355.9,360.45,317.63,8.57M,0.96%
10/01/2025,363.67,359.5,400,350,19.41M,1.87%
11/01/2025,359.7,364,365.98,343.7,7.07M,-1.09%
12/01/2025,379.38,359.7,381.99,355.11,9.93M,5.47%
01/01/2026,407.28,380,452,378.2,16.22M,7.35%
02/01/2026,397.24,408,427.25,380,14.66M,-2.47%
03/01/2026,367.13,357.52,390,345,13.10M,-7.58%
04/01/2026,372.8,374,390,370.25,1.18M,1.54%
