Date,Price,Open,High,Low,Vol.,Change %
05/01/2016,80.81,69.3,85.12,68.37,46.69M,16.10%
06/01/2016,83.2,80.53,92.29,79.52,57.57M,2.97%
07/01/2016,89.26,83.56,92.65,83.11,39.83M,7.27%
08/01/2016,88.61,89.53,92.23,87.06,20.34M,-0.72%
09/01/2016,87.37,88.61,89.44,85.38,11.15M,-1.40%
10/01/2016,90.08,88.06,94.58,87.33,12.78M,3.10%
11/01/2016,95.96,89.99,100.47,89.53,20.04M,6.52%
12/01/2016,127.46,101.16,135.45,99.36,15.43M,32.82%
01/01/2017,118.5,125.9,140.86,117.45,15.24M,-7.02%
02/01/2017,123.05,119.93,133.15,113.5,7.96M,3.84%
03/01/2017,139.62,122.13,139.62,116.16,21.15M,13.47%
04/01/2017,145.09,138.66,149.31,129.48,27.31M,3.92%
05/01/2017,155.21,144.08,160.7,137.83,11.64M,6.98%
06/01/2017,144.63,155.33,159.78,137.74,9.01M,-6.82%
07/01/2017,160.7,143.37,163.58,131.31,4.64M,11.11%
08/01/2017,136.36,162.08,170.71,126.51,7.35M,-15.14%
09/01/2017,137.74,131.77,145.02,128.67,1.80M,1.01%
10/01/2017,133.15,142.33,143.7,128.56,3.69M,-3.33%
11/01/2017,136.82,134.99,148.76,134.99,2.89M,2.76%
12/01/2017,133.98,135.45,138.36,126.26,1.91M,-2.08%
01/01/2018,143.73,133.24,144.15,131.31,4.92M,7.28%
02/01/2018,134.07,143.71,153.35,133.9,2.42M,-6.72%
03/01/2018,136.73,135.72,136.82,128.1,2.91M,1.99%
04/01/2018,140.95,136.46,142.33,133.7,6.24M,3.09%
05/01/2018,138.67,140.04,148.76,137.74,3.11M,-1.62%
06/01/2018,138.31,137.74,148.67,131.68,3.01M,-0.26%
07/01/2018,133.79,137.74,139.59,123.05,3.80M,-3.27%
08/01/2018,140.95,133.24,146.93,133.24,2.97M,5.35%
09/01/2018,143.25,139.85,146.2,135.9,8.02M,1.63%
10/01/2018,148.99,141.87,151.51,135.45,7.70M,4.01%
11/01/2018,140.56,148.99,148.99,130,4.27M,-5.66%
12/01/2018,121.33,142.93,142.93,121.21,8.12M,-13.68%
01/01/2019,130.3,125.25,141.31,123.74,3.13M,7.39%
02/01/2019,131.53,129.3,138.89,125.76,4.03M,0.94%
03/01/2019,125.25,133.32,135.86,121.21,3.23M,-4.77%
04/01/2019,117.78,125.25,126.26,117.07,4.55M,-5.97%
05/01/2019,116.16,117.17,117.88,91.62,7.84M,-1.37%
06/01/2019,103.54,113.64,115.05,98.48,2.60M,-10.87%
07/01/2019,94.95,101.52,103.83,90.4,3.36M,-8.29%
08/01/2019,84.6,94.65,94.95,83.33,5.59M,-10.90%
09/01/2019,90.91,84.85,92.93,82.83,8.25M,7.46%
10/01/2019,121.86,89.49,123.33,89.39,11.16M,34.05%
11/01/2019,135.67,121.11,143.89,119.44,10.73M,11.33%
12/01/2019,147.22,136.89,153.76,133.33,21.94M,8.52%
