Date,Price,Open,High,Low,Vol.,Change %
05/01/2016,54.69,55.5,57.57,53.01,21.76M,-1.64%
06/01/2016,57.8,54.14,58.99,51.85,21.82M,5.69%
07/01/2016,63.8,57.97,64.45,57.75,25.02M,10.38%
08/01/2016,72.52,64.4,74.75,64.4,64.41M,13.67%
09/01/2016,73.01,72.51,77.49,71.77,46.22M,0.68%
10/01/2016,71.75,73.65,75.89,70.5,24.59M,-1.73%
11/01/2016,70.7,71.76,76,70.5,43.14M,-1.46%
12/01/2016,75,71.18,76.1,70.65,53.73M,6.08%
01/01/2017,74.89,75.24,79.5,74.25,68.27M,-0.15%
02/01/2017,75.25,75.3,83.64,74.75,74.55M,0.48%
03/01/2017,74.5,75.7,77.86,73.5,42.35M,-1.00%
04/01/2017,63.51,75,75,59.5,41.23M,-14.75%
05/01/2017,64.1,63.6,69.74,63,40.80M,0.93%
06/01/2017,59,65,68.89,57.65,25.86M,-7.96%
07/01/2017,61,59.01,62.49,56.26,15.47M,3.39%
08/01/2017,55.53,61.25,62.9,54.65,12.93M,-8.97%
09/01/2017,49.12,55.6,60.85,48.5,24.43M,-11.54%
10/01/2017,44.28,49.06,50.45,44,10.24M,-9.85%
11/01/2017,44.71,44,46.18,43.26,11.37M,0.97%
12/01/2017,48.56,45,49.2,42.5,18.88M,8.61%
01/01/2018,48.91,48.1,50.49,46.25,22.47M,0.72%
02/01/2018,46.99,49.36,52.49,46.66,26.05M,-3.93%
03/01/2018,50.05,46.8,51.1,46.68,25.35M,6.51%
04/01/2018,50.9,49.42,53.15,48.4,26.72M,1.70%
05/01/2018,49.2,50.5,51.75,46.75,9.08M,-3.34%
06/01/2018,47.37,49,51.4,46.33,10.70M,-3.72%
07/01/2018,50.24,47.95,51,46,26.99M,6.06%
08/01/2018,52.34,50.4,54.89,50.25,36.74M,4.18%
09/01/2018,51.79,52.7,53.5,50,22.56M,-1.05%
10/01/2018,48.15,51.99,52.35,45,22.16M,-7.03%
11/01/2018,48.89,48.01,50.79,47.9,18.25M,1.54%
12/01/2018,42.03,49,49.2,41.1,23.53M,-14.03%
01/01/2019,47,42.35,48.15,42.2,11.24M,11.82%
02/01/2019,42.82,47.5,48,40.65,14.32M,-8.89%
03/01/2019,40.02,42.11,43.49,40,11.56M,-6.54%
04/01/2019,39.5,39.86,41.9,37.35,9.13M,-1.30%
05/01/2019,42.37,39.15,43.1,35.51,22.79M,7.27%
06/01/2019,33.66,42.01,42.12,33.5,16.28M,-20.56%
07/01/2019,33.05,33.6,38.9,32.4,7.63M,-1.81%
08/01/2019,29.69,33.41,33.65,28.36,10.70M,-10.17%
09/01/2019,29.14,29.59,33,28.34,22.69M,-1.85%
10/01/2019,35.5,29,36.85,28.81,39.60M,21.83%
11/01/2019,42.85,35.55,43.5,35.16,50.05M,20.70%
12/01/2019,43.31,42.81,48,42.81,57.51M,1.07%
01/01/2020,44,43.55,45.64,41.1,45.84M,1.59%
02/01/2020,39.29,43.95,44.2,39.29,23.92M,-10.70%
03/01/2020,28.7,36.54,37.81,24.59,29.95M,-26.95%
04/01/2020,28.27,27.95,31.98,27,19.68M,-1.50%
05/01/2020,26.46,28.05,28.75,26.4,6.70M,-6.40%
06/01/2020,27.5,26.69,29,25.25,35.81M,3.93%
07/01/2020,30.8,27.41,32,26.1,67.62M,12.00%
08/01/2020,36.5,31,38.99,30.9,90.89M,18.51%
09/01/2020,39.9,36.52,42.45,36.33,112.45M,9.32%
10/01/2020,38.7,39.66,42,37.01,39.79M,-3.01%
11/01/2020,40.79,38.02,41.4,37.15,14.03M,5.40%
12/01/2020,42.92,40.6,45.24,39.75,72.14M,5.22%
01/01/2021,42.12,43.37,43.67,41.5,59.01M,-1.86%
02/01/2021,35.61,42.15,42.3,35.41,17.08M,-15.46%
03/01/2021,32.2,35.91,36.34,31.6,19.80M,-9.58%
04/01/2021,33.15,32.45,37.2,30.25,32.77M,2.95%
05/01/2021,35.65,32.95,36.9,31.6,25.46M,7.54%
06/01/2021,37.25,35.7,38.99,34.6,33.33M,4.49%
07/01/2021,35.99,36.45,37.43,34.01,5.83M,-3.38%
08/01/2021,33.6,35.35,35.75,33.02,6.04M,-6.64%
09/01/2021,33.31,33.51,35.24,32.3,10.93M,-0.86%
10/01/2021,34.2,33.25,36.45,32.62,7.19M,2.67%
11/01/2021,34.55,34.49,37.4,32.7,15.33M,1.02%
12/01/2021,34.26,34.23,35.4,33.1,7.60M,-0.84%
01/01/2022,34.6,34.5,35.7,32.92,6.26M,0.99%
02/01/2022,30.24,34.65,37.8,29.52,13.33M,-12.60%
03/01/2022,31.22,30.09,33.59,30,16.24M,3.24%
04/01/2022,31.48,30.84,32.69,29.5,4.21M,0.83%
05/01/2022,29.5,30.59,31.35,27.7,4.60M,-6.29%
06/01/2022,28,29.45,29.67,26,8.38M,-5.08%
07/01/2022,26.71,27.67,28.19,26.16,5.34M,-4.61%
08/01/2022,28.75,26.7,34.2,25.84,32.68M,7.64%
09/01/2022,26.07,29.85,29.85,25.55,6.60M,-9.32%
10/01/2022,25.98,25.8,26.7,24.8,3.78M,-0.35%
11/01/2022,25.03,25.8,26,24.85,3.73M,-3.66%
12/01/2022,23.5,25.25,25.49,23,6.51M,-6.11%
01/01/2023,25.15,23.8,26.49,23.11,8.44M,7.02%
02/01/2023,23.51,25.49,26,23.1,6.06M,-6.52%
03/01/2023,21.48,23.2,24,21,5.08M,-8.63%
04/01/2023,21.25,21.16,21.5,20.5,1.77M,-1.07%
05/01/2023,20.79,21.35,21.65,19.8,25.79M,-2.16%
06/01/2023,19.5,20.35,20.95,18.31,7.64M,-6.20%
07/01/2023,24.7,20.11,25.4,19.9,49.71M,26.67%
08/01/2023,21.39,24.8,27.4,20.8,48.54M,-13.40%
09/01/2023,23,21.54,23.25,20.81,15.84M,7.53%
10/01/2023,23.68,23.15,24.5,22.6,17.04M,2.96%
11/01/2023,31.25,23.39,33,23,78.10M,31.97%
12/01/2023,32.01,31.39,38.5,30.52,109.55M,2.43%
01/01/2024,27.7,32.47,33.65,27.56,15.77M,-13.46%
02/01/2024,28.96,27.98,29.73,26.6,19.87M,4.55%
03/01/2024,38.5,29,41.74,28.02,84.62M,32.94%
04/01/2024,39.5,38.79,45.09,38.06,110.83M,2.60%
05/01/2024,39.75,39,41.5,37.85,125.49M,0.63%
06/01/2024,36.88,40.11,40.5,33.5,95.14M,-7.22%
07/01/2024,46.7,37,54.5,36.81,191.87M,26.63%
08/01/2024,60.65,47,63,43.4,122.08M,29.87%
09/01/2024,60,60.49,62,55.46,63.96M,-1.07%
10/01/2024,60.25,60.45,71.75,58.21,102.41M,0.42%
11/01/2024,70.94,60,74,57.69,108.57M,17.74%
12/01/2024,66.92,71.7,78.5,58,160.59M,-5.67%
01/01/2025,70.84,66.75,70.84,59,60.06M,5.86%
02/01/2025,80.01,73.05,80.8,69.25,184.38M,12.94%
03/01/2025,76.29,84,85.97,72.99,124.07M,-4.65%
04/01/2025,81.84,76.29,91.25,71.71,133.75M,7.27%
05/01/2025,94.41,82.32,99.95,74.19,97.29M,15.36%
06/01/2025,108.69,94.98,111.68,94.5,139.32M,15.13%
07/01/2025,123.79,108.99,130.6,108.99,140.40M,13.89%
08/01/2025,148.43,124.75,158,123.76,208.91M,19.90%
09/01/2025,204.3,150.2,208.8,149.75,223.05M,37.64%
10/01/2025,221.84,205,226.9,193.12,226.34M,8.59%
11/01/2025,215.17,225.87,233.9,204,104.90M,-3.01%
12/01/2025,242.18,216,250.5,210.25,171.08M,12.55%
