Date,Price,Open,High,Low,Vol.,Change %
05/01/2016,109.74,105.44,113.95,103.46,36.72M,3.73%
06/01/2016,112.03,108.17,121.38,108.15,24.44M,2.09%
07/01/2016,114.35,113.77,124.63,111.41,20.01M,2.07%
08/01/2016,118.84,112.79,122.61,111.59,19.70M,3.93%
09/01/2016,118.27,118.48,120.71,113.77,8.63M,-0.48%
10/01/2016,107.68,118.84,120.29,105.96,17.30M,-8.95%
11/01/2016,111.05,107.25,117.02,107.17,13.86M,3.13%
12/01/2016,136.96,116.6,141.21,114.42,43.46M,23.33%
01/01/2017,128.91,136.24,140.76,127.54,30.51M,-5.87%
02/01/2017,125.91,129.33,131.96,125.91,11.39M,-2.33%
03/01/2017,112.32,126.09,126.45,108.15,25.04M,-10.79%
04/01/2017,116.66,112.32,128.26,110.87,17.13M,3.86%
05/01/2017,125.62,115.22,135.87,113.41,16.72M,7.68%
06/01/2017,107.25,125.72,125.72,99.86,23.30M,-14.62%
07/01/2017,128.82,107.25,134.06,103.62,24.28M,20.11%
08/01/2017,119.57,130.36,130.8,113.41,19.13M,-7.18%
09/01/2017,126.45,120,131.92,119.75,20.79M,5.76%
10/01/2017,130.58,126.81,132.61,117.83,12.84M,3.27%
11/01/2017,137.02,131.16,147.83,130.51,36.86M,4.93%
12/01/2017,149.28,138.41,150.36,136.63,21.43M,8.95%
01/01/2018,149.3,148.55,159.06,146.49,30.40M,0.01%
02/01/2018,147.12,149.98,152.17,141.81,14.89M,-1.46%
03/01/2018,153.99,148.48,158.33,142.64,14.46M,4.66%
04/01/2018,154.57,155.07,158.17,151.46,20.30M,0.38%
05/01/2018,155.79,155.69,159.13,148.19,15.25M,0.79%
06/01/2018,155.72,154.42,162.68,149.64,18.72M,-0.04%
07/01/2018,154.35,156.79,157.93,144.13,15.82M,-0.88%
08/01/2018,150.73,155.8,155.8,149.29,13.71M,-2.34%
09/01/2018,154.35,150.72,157.61,145.29,10.11M,2.40%
10/01/2018,155.83,155.43,161.25,140.84,24.97M,0.96%
11/01/2018,141.66,155.67,156.42,134.58,18.84M,-9.10%
12/01/2018,124.72,145,146.4,120.92,16.11M,-11.96%
