"Date","Price","Open","High","Low","Vol.","Change %"
"07/03/2026","490.77","482.00","497.31","480.25","3.56M","1.19%"
"07/02/2026","484.99","484.50","494.30","478.36","5.33M","1.10%"
"07/01/2026","479.73","449.50","484.98","449.50","8.56M","7.16%"
"06/30/2026","447.67","445.00","449.51","444.32","2.36M","1.10%"
"06/29/2026","442.79","440.00","453.00","436.00","12.04M","-0.03%"
"06/24/2026","442.92","429.31","445.00","429.31","2.49M","3.17%"
"06/23/2026","429.31","441.40","441.40","427.99","2.17M","-1.86%"
"06/22/2026","437.46","444.00","445.00","435.50","1.32M","-0.16%"
"06/19/2026","438.18","445.00","445.99","428.50","3.61M","-1.54%"
"06/18/2026","445.04","446.90","448.00","444.00","5.27M","-0.04%"
"06/17/2026","445.20","456.80","458.50","442.60","4.88M","-2.03%"
"06/16/2026","454.43","435.10","455.90","434.01","5.68M","6.16%"
"06/15/2026","428.07","413.99","430.00","413.51","4.30M","5.70%"
"06/12/2026","404.97","404.80","409.00","400.00","1.86M","1.50%"
"06/11/2026","399.00","396.00","401.01","393.50","1.11M","0.48%"
"06/10/2026","397.08","397.00","401.59","395.84","623.42K","-0.77%"
"06/09/2026","400.18","399.99","401.10","398.50","881.93K","1.37%"
"06/08/2026","394.76","398.00","398.00","391.25","670.31K","-1.20%"
"06/05/2026","399.57","405.05","407.00","397.02","1.49M","-1.27%"
"06/04/2026","404.72","405.00","407.45","403.50","905.25K","0.06%"
"06/03/2026","404.47","405.51","407.85","402.50","345.31K","-0.61%"
"06/02/2026","406.97","404.70","411.80","402.11","1.20M","0.54%"
"06/01/2026","404.77","408.98","409.51","402.00","1.71M","-0.97%"
"05/29/2026","408.73","415.00","417.00","405.50","3.92M","-1.15%"
"05/25/2026","413.49","414.90","417.00","409.10","1.42M","2.34%"
"05/22/2026","404.05","411.00","414.00","402.05","1.66M","-0.73%"
"05/21/2026","407.03","390.10","410.00","390.10","4.47M","4.71%"
"05/20/2026","388.73","384.00","389.90","380.00","938.22K","1.74%"
"05/19/2026","382.07","374.85","384.00","374.85","1.35M","2.52%"
"05/18/2026","372.67","374.72","376.89","371.00","1.33M","-1.80%"
"05/15/2026","379.50","383.10","383.10","376.05","3.19M","-1.23%"
"05/14/2026","384.21","396.70","396.70","380.02","2.04M","-2.50%"
"05/13/2026","394.05","400.10","403.99","391.30","1.26M","-1.38%"
"05/12/2026","399.55","406.00","410.00","395.00","1.37M","-1.46%"
"05/11/2026","405.48","412.00","413.00","404.00","1.39M","-2.35%"
"05/08/2026","415.22","416.62","417.24","411.00","1.46M","-1.54%"
"05/07/2026","421.71","416.50","423.75","413.00","3.02M","1.47%"
"05/06/2026","415.60","396.80","419.19","392.00","3.74M","7.92%"
"05/05/2026","385.11","380.00","387.00","380.00","1.45M","-0.22%"
"05/04/2026","385.94","386.00","398.00","384.00","1.10M","1.24%"
"04/30/2026","381.23","380.01","389.70","370.26","3.88M","-2.29%"
"04/29/2026","390.16","400.99","405.00","387.60","1.41M","-2.62%"
"04/28/2026","400.67","402.00","405.00","396.00","3.21M","-2.25%"
"04/27/2026","409.88","416.40","416.50","407.00","2.10M","-1.54%"
"04/24/2026","416.31","405.05","419.01","402.05","3.14M","1.43%"
"04/23/2026","410.46","419.00","422.00","400.00","3.57M","-3.47%"
"04/22/2026","425.20","445.00","445.00","422.01","5.34M","-2.61%"
"04/21/2026","436.60","419.00","451.50","419.00","6.38M","4.99%"
"04/20/2026","415.84","404.31","420.99","395.01","8.95M","2.20%"
"04/17/2026","406.88","385.00","409.90","385.00","7.69M","6.69%"
"04/16/2026","381.38","375.00","384.49","373.00","4.32M","2.87%"
"04/15/2026","370.73","365.10","382.48","361.90","16.14M","4.16%"
"04/14/2026","355.93","350.00","359.00","350.00","2.31M","3.85%"
"04/13/2026","342.73","348.01","355.00","341.11","3.70M","-4.89%"
"04/10/2026","360.34","360.01","368.00","355.00","5.59M","0.92%"
"04/09/2026","357.07","350.00","365.00","340.20","6.75M","3.01%"
"04/08/2026","346.65","346.65","346.65","346.65","3.63M","10.00%"
"04/07/2026","315.14","305.00","316.99","293.25","5.56M","2.95%"
"04/06/2026","306.10","327.00","328.75","294.10","14.90M","-6.32%"
"04/03/2026","326.76","333.00","337.50","321.60","6.69M","-4.07%"
"04/02/2026","340.62","340.00","344.00","336.60","2.00M","-3.52%"
"04/01/2026","353.06","338.00","356.00","337.00","6.03M","6.36%"
"03/31/2026","331.95","340.00","344.98","328.00","2.52M","-1.44%"
"03/30/2026","336.81","346.00","347.00","330.00","1.63M","-2.22%"
"03/27/2026","344.45","350.00","354.50","339.00","2.39M","-0.90%"
"03/26/2026","347.58","374.50","374.99","343.00","2.92M","-7.07%"
"03/25/2026","374.01","372.02","376.88","369.40","1.47M","1.21%"
"03/24/2026","369.54","378.01","378.77","367.01","707.60K","0.22%"
"03/19/2026","368.72","362.32","375.00","362.32","1.17M","-3.49%"
"03/18/2026","382.07","365.00","387.00","365.00","1.16M","4.73%"
"03/17/2026","364.83","360.01","365.80","357.50","822.14K","1.78%"
"03/16/2026","358.45","371.37","374.98","352.10","1.02M","-3.48%"
"03/13/2026","371.37","365.22","376.00","362.56","688.79K","1.68%"
"03/12/2026","365.22","373.98","373.98","362.50","1.27M","-2.44%"
"03/11/2026","374.37","382.16","388.95","372.90","1.20M","-1.87%"
"03/10/2026","381.49","397.47","397.47","379.40","2.34M","5.58%"
"03/09/2026","361.34","380.00","388.00","361.34","5.33M","-10.00%"
"03/06/2026","401.49","418.00","418.00","399.01","2.88M","-3.50%"
"03/05/2026","416.07","416.00","421.89","413.15","1.10M","0.78%"
"03/04/2026","412.85","420.00","420.00","403.70","2.59M","-1.39%"
"03/03/2026","418.68","396.00","424.00","395.00","3.16M","5.72%"
"03/02/2026","396.03","395.82","415.00","395.82","3.86M","-9.95%"
"02/27/2026","439.80","450.00","457.00","430.00","1.42M","-2.52%"
"02/26/2026","451.19","450.10","457.99","443.00","1.49M","0.26%"
"02/25/2026","450.04","467.00","471.89","447.00","2.94M","-2.47%"
"02/24/2026","461.46","470.10","479.98","459.99","1.20M","-1.84%"
"02/23/2026","470.09","479.88","484.80","464.05","537.59K","-2.06%"
"02/20/2026","479.98","482.50","484.99","469.00","1.05M","0.49%"
"02/19/2026","477.65","490.50","490.50","465.00","1.29M","-2.38%"
"02/18/2026","489.32","462.00","491.24","460.06","2.28M","7.41%"
"02/17/2026","455.57","463.00","468.50","446.18","2.23M","-0.93%"
"02/16/2026","459.84","483.00","483.50","446.00","1.63M","-4.20%"
"02/13/2026","479.98","488.00","488.00","478.02","1.05M","-1.00%"
"02/12/2026","484.84","485.06","491.91","474.00","1.81M","-0.05%"
"02/11/2026","485.06","491.99","491.99","482.90","643.12K","-0.56%"
"02/10/2026","487.77","491.99","492.00","483.01","775.53K","-0.05%"
"02/09/2026","487.99","494.01","502.00","482.00","2.15M","-1.17%"
"02/06/2026","493.77","505.00","509.00","490.00","1.55M","-1.86%"
"02/04/2026","503.14","499.99","506.50","498.00","1.48M","0.69%"
"02/03/2026","499.68","496.00","502.00","495.00","1.74M","0.89%"
"02/02/2026","495.26","487.50","497.03","483.50","2.63M","1.71%"
"01/30/2026","486.92","480.00","497.00","480.00","976.82K","1.65%"
"01/29/2026","479.00","493.00","493.00","478.00","2.00M","-2.82%"
"01/28/2026","492.91","484.80","498.00","484.05","2.50M","1.84%"
"01/27/2026","484.02","486.12","492.00","482.00","1.17M","-0.23%"
"01/26/2026","485.12","484.00","491.90","484.00","687.49K","0.29%"
"01/23/2026","483.73","486.76","490.25","480.00","1.36M","-0.62%"
"01/22/2026","486.76","495.00","496.00","485.75","883.79K","-0.60%"
"01/21/2026","489.70","493.42","495.41","486.66","777.55K","-0.64%"
"01/20/2026","492.87","497.80","501.00","490.16","1.70M","-0.39%"
"01/19/2026","494.78","483.00","510.00","482.00","4.50M","3.09%"
"01/16/2026","479.95","478.93","483.99","474.00","3.09M","1.21%"
"01/15/2026","474.19","483.98","487.00","470.50","2.33M","-1.20%"
"01/14/2026","479.95","490.00","490.00","478.60","2.44M","-2.05%"
"01/13/2026","490.01","480.41","493.00","470.01","2.33M","2.00%"
"01/12/2026","480.41","485.99","488.93","478.00","1.11M","-1.15%"
"01/09/2026","485.99","489.00","491.80","483.92","1.29M","-0.26%"
"01/08/2026","487.27","495.54","498.00","482.00","2.49M","-1.67%"
"01/07/2026","495.54","505.00","511.00","486.50","5.42M","-1.43%"
"01/06/2026","502.74","489.89","517.00","484.10","5.76M","3.06%"
"01/05/2026","487.80","467.50","494.90","467.49","3.00M","5.12%"
"01/02/2026","464.04","449.74","480.00","444.00","1.90M","4.73%"
"01/01/2026","443.10","425.00","450.00","424.99","2.65M","4.36%"
"12/31/2025","424.59","422.90","427.40","420.00","1.38M","0.38%"
"12/30/2025","422.98","419.00","427.90","417.00","2.42M","1.14%"
"12/29/2025","418.23","413.00","419.99","412.65","702.42K","1.38%"
"12/26/2025","412.52","409.05","413.50","407.00","595.93K","0.48%"
"12/24/2025","410.56","412.60","413.70","407.76","470.62K","-0.18%"
"12/23/2025","411.28","412.99","415.98","410.00","646.39K","0.49%"
"12/22/2025","409.27","412.00","412.24","407.00","814.55K","-0.68%"
"12/19/2025","412.07","411.10","415.00","406.00","850.71K","0.34%"
"12/18/2025","410.69","401.48","420.00","401.48","1.98M","2.30%"
"12/17/2025","401.47","393.50","405.00","390.11","3.29M","2.75%"
"12/16/2025","390.74","384.01","395.00","384.01","2.17M","2.21%"
"12/15/2025","382.30","380.30","384.79","378.01","818.17K","0.70%"
"12/12/2025","379.66","375.20","384.10","375.20","1.62M","0.57%"
"12/11/2025","377.50","378.80","379.48","375.03","341.71K","-0.06%"
"12/10/2025","377.74","376.92","379.39","376.13","2.40M","0.22%"
"12/09/2025","376.91","376.02","378.90","375.01","931.90K","0.36%"
"12/08/2025","375.57","375.20","377.00","373.73","1.63M","-0.21%"
"12/05/2025","376.35","379.98","380.00","373.00","1.26M","0.66%"
"12/04/2025","373.90","375.11","377.55","372.72","101.46K","-0.25%"
"12/03/2025","374.83","377.11","378.50","374.00","557.87K","-0.94%"
"12/02/2025","378.38","379.90","381.90","377.00","1.21M","-0.41%"
"12/01/2025","379.92","380.00","381.90","376.01","823.29K","0.23%"
"11/28/2025","379.03","379.00","384.00","378.00","866.70K","0.22%"
